taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__TH5896		0.03	0.02	0.03	0.06	0.07	0.05	0.03			0.02		0.09	0.01	0.1	0.05	0.05	0.1	0.08	0.12	0.05	0.09	0.06	0.01	0.12	0.03	0.01		0.02	0.21	0.23	0.31	0.07	0.12	0.01	0.1	0.12	0.04	0.04	0.06	0.12	0.08	0.12	0.1		0.01	0.05	0.07	0.01	0.04	0.04	0.01			0.01		0.06	0.02
Root; d__Bacteria; p__4484-113; c__4484-113; o__4484-113; f__JAFGCY01; g__JADZFO01		0.01			0.01			0.01			0.01			0.02												0.02							0.02	0.01	0.01		0.01									0.02					0.01	0.01		0.01	0.01	0.02		0.01
Root; d__Bacteria; p__4484-113; c__4484-113; o__4484-113; f__JAFGCY01; g__JAFGCY01																																		0.01	0.01											0.02										0.0		
Root; d__Bacteria; p__4484-113; c__4484-113; o__4484-113; f__JAFGCY01; g__JAHEFU01											0.01																																			0.01										0.01		
Root; d__Bacteria; p__AABM5-125-24; c__B3-LCP; o__B3-LCP; f__B3-LCP; g__JAGVQJ01																																			0.01																							
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01; f__RPQS01; g__JABWCQ01																																			0.01																							
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01; f__RPQS01; g__JACRMR01																																			0.04																							
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01; f__RPQS01; g__JAGVEU01																																			0.01																							
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01; f__RPQS01; g__JAHJDG01																																			0.02																							
Root; d__Bacteria; p__AABM5-125-24; c__RPQS01; o__RPQS01; f__RPQS01; g__RPQS01																																			0.02																							
Root; d__Bacteria; p__ARS69; c__ARS69; o__ARS69; f__ARS69; g__ARS69															0.01			0.01		0.01		0.01	0.01		0.01		0.01				0.01							0.02				0.01																
Root; d__Bacteria; p__ARS69; c__ARS69; o__ARS69; f__ARS69; g__BQJX01						0.02			0.01	0.02					0.1	0.02	0.03	0.09		0.05	0.03	0.13	0.05	0.01	0.06	0.04	0.07	0.03	0.01		0.07	0.02	0.02			0.03		0.06	0.05		0.01	0.04	0.03											0.01	0.01			
Root; d__Bacteria; p__ARS69; c__ARS69; o__ARS69; f__ARS69; g__JAGQIB01															0.05		0.01	0.04		0.02	0.01	0.03	0.02		0.02	0.01	0.02	0.01			0.03	0.01						0.03	0.02			0.01	0.01												0.01			
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__RBG-16-66-30; g__RBG-16-66-30																																			0.05																							
