taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__RPRB01	0.03	0.08	0.04	0.08	0.04	0.21	0.08	0.04	0.14	0.03	0.02	0.01	0.01	0.04		0.04	0.09	0.01		0.09	0.01	0.01	0.02	0.01	0.01	0.03	0.03	0.04	0.07	0.08	0.03	0.01	0.03	0.12	0.03	0.03	0.02				0.03	0.04	0.01	0.01	0.05	0.04	0.03	0.06	0.01	0.22	0.12	0.06		0.04		0.01	0.01	0.05
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__Stigmatella			0.01								0.01																																				0.01	0.0	0.01							0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__VGRA01				0.01							0.01																																		0.01							0.01						
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__SZAS-1; g__SZAS-1														0.02																																												
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__UBA5297; g__JACRCT01																																			0.02																							
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__UBA5297; g__UBA10939																																	0.01		0.02																							
Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Vulgatibacteraceae; g__Vulgatibacter																																			0.0																							
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Fen-1088; f__Fen-1088; g__FEN-1088	0.07	0.05	0.04	0.07	0.07	0.05	0.03	0.05	0.06	0.05	0.05	0.07	0.04	0.04	0.05	0.09	0.08	0.04	0.16	0.06	0.04	0.07	0.12	0.07	0.05	0.06	0.1	0.07	0.03	0.09	0.05	0.05	0.01	0.08	0.01	0.07	0.01	0.05	0.07	0.05	0.12	0.08	0.08	0.07	0.08	0.06	0.04	0.07	0.03	0.07	0.02	0.05	0.06	0.05	0.06	0.08	0.03	0.04
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Fen-1088; f__Fen-1088; g__Fen-1118	0.06	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.03	0.04		0.01	0.03	0.05	0.03	0.02	0.05	0.05	0.02	0.03	0.02			0.01		0.02		0.04	0.03	0.05	0.03	0.04	0.04	0.03	0.04	0.01	0.01	0.01		0.02		0.01	0.01	0.01	0.02	0.01	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Fen-1088; f__Fen-1088; g__Fen-1137	0.25	0.03	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.01	0.04	0.05	0.05	0.01	0.02	0.03	0.03	0.02	0.11	0.11	0.03	0.05	0.06	0.14	0.05	0.05	0.14	0.14	0.05	0.09	0.04	0.04	0.01	0.05	0.04	0.09	0.03	0.1	0.1	0.14	0.14	0.12	0.12	0.15	0.12	0.02	0.04	0.03	0.02	0.04		0.05	0.04	0.01	0.03	0.04	0.03	0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Fen-1088; f__Fen-1088; g__JADGRB01	0.06	0.07	0.09	0.12	0.17	0.16	0.08	0.14	0.18	0.11	0.13	0.12	0.06	0.07	0.11	0.16	0.15	0.1	0.27	0.09	0.11	0.07	0.21	0.06	0.08	0.14	0.14	0.13	0.05	0.14	0.13	0.15	0.06	0.19	0.03	0.1	0.03	0.13	0.09	0.09	0.16	0.1	0.18	0.08	0.04	0.07	0.08	0.13	0.08	0.12	0.03	0.11	0.14	0.15	0.12	0.11	0.05	0.07
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Fen-1088; f__Fen-1088; g__JAGTJU01	0.01	0.01										0.01								0.01			0.01	0.01	0.01		0.01	0.01	0.01	0.01						0.01					0.01	0.01	0.01	0.01	0.01					0.01						0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__GCA-2747355; f__GCA-2747355; g__GCA-2747355																																			0.01																							
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__GCA-2747355; f__JADLHG01; g__JADLHG01																										0.01									0.01																							
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__GCA-2747355; f__JAKLHH01; g__DYIX01																																			0.03																							
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__GCA-2747355; f__JAKLHH01; g__JAKLHH01																																			0.01																							
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium			0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.03		0.01			0.01		0.01	0.02		0.01		0.01	0.01	0.02	0.01	0.01		0.01	0.01		0.01		0.01			0.01			0.01			0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.02		0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__JABFXX01	0.43	0.46	0.91	0.64	0.7	0.51	0.48	0.59	0.74	0.48	0.51	0.73	0.6	0.93	0.51	0.24	0.28	0.28	0.47	0.27	0.39	0.18	0.33	0.35	0.26	0.45	0.44	0.39	0.44	0.24	0.24	0.46	0.36	0.44	0.23	0.4	0.44	0.24	0.25	0.2	0.3	0.3	0.27	0.28	0.42	0.41	0.47	0.43	0.77	0.7	0.5	0.57	1.11	0.81	0.84	0.71	0.38	0.74
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__JAIOQA01		0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02		0.02	0.01		0.02	0.01		0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.02	0.02	0.01	0.02	0.01		0.01		0.01			0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__JAKSDA01			0.02	0.01	0.01	0.01	0.02	0.01	0.02		0.01	0.01	0.01		0.01							0.01	0.01			0.01								0.01								0.01				0.01	0.01	0.01	0.01			0.02	0.02	0.01	0.01	0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__NORP324		0.01	0.06	0.01	0.03	0.03	0.03	0.05	0.04	0.01	0.02	0.04	0.02	0.01	0.01			0.02	0.01	0.03	0.01	0.01	0.01		0.01	0.03	0.01	0.01	0.02	0.01		0.01	0.01	0.02		0.01			0.01	0.01	0.02	0.01		0.01	0.01	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.04	0.05	0.03	0.03	0.01	0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__SLNH01					0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.01					0.01						0.01	0.01			0.01																0.01	0.01		0.01	0.01		0.01	0.01		0.01			0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__UBA2376	0.1	0.11	0.19	0.19	0.14	0.09	0.05	0.11	0.14	0.06	0.12	0.1	0.16	0.13	0.05	0.07	0.08	0.05	0.08	0.1	0.1	0.08	0.05	0.2	0.05	0.12	0.16	0.09	0.11	0.07	0.07	0.09	0.13	0.1	0.06	0.08	0.14	0.09	0.06	0.05	0.09	0.05	0.09	0.09	0.06	0.12	0.09	0.12	0.11	0.12	0.11	0.11	0.18	0.21	0.21	0.15	0.1	0.09
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__WYBA01	0.02	0.04	0.09	0.06	0.06	0.05	0.03	0.02	0.05	0.03	0.04	0.06	0.04	0.04	0.03	0.02	0.02	0.03	0.03	0.03	0.05	0.02	0.02	0.05	0.02	0.04	0.04	0.04	0.03	0.03	0.02	0.03	0.04	0.03	0.03	0.03	0.05	0.03	0.02	0.02	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.05	0.04	0.02	0.05	0.06	0.06	0.06	0.05	0.04	0.06
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__J016; g__J016	0.01	0.02	0.03	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01		0.02	0.01		0.01	0.01	0.01	0.03	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__JADYYK01; g__JADYYK01		0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.02	0.02	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.04	0.01		0.01	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.01		0.01		0.01	0.01	0.01	0.01		0.01	0.0	0.01	0.01	0.01	0.01		0.01		0.01	0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__SHYZ01; g__JACQUZ01	0.03	0.04	0.09	0.05	0.08	0.04	0.04	0.02	0.06	0.04	0.04	0.05	0.07	0.02	0.08	0.03	0.03	0.06	0.02	0.03	0.04	0.06	0.13	0.03	0.06	0.05	0.11	0.04	0.02	0.03	0.03	0.03	0.06	0.05	0.03	0.03	0.05	0.04	0.05	0.01	0.06	0.02	0.05	0.01	0.01	0.03	0.04	0.03	0.03	0.03	0.01	0.02	0.04	0.04	0.09	0.03	0.03	0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__SHYZ01; g__SHYZ01		0.01			0.0																		0.01				0.01			0.0	0.01						0.01																					
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__JACPQR01; f__JACPQR01; g__JACPQR01					0.0					0.02	0.01	0.01			0.01	0.01	0.01	0.02		0.01		0.02	0.01	0.01							0.01																								0.02			
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__JACRCY01; f__JACRCY01; g__JACRCY01				0.01					0.01	0.0												0.01	0.01												0.01			0.01	0.01		0.0																	
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__JAHFDS01; f__JAHFDS01; g__JAHFDS01			0.01	0.01					0.01		0.01						0.01	0.01		0.01	0.01	0.01	0.01			0.01	0.01									0.01					0.01					0.0									0.01			
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__CAJXVA01			0.01			0.01	0.01	0.01	0.02	0.01		0.01								0.02					0.01	0.01										0.01			0.01			0.01							0.01				0.01	0.01				
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Enhygromyxa	0.01		0.02	0.01	0.01		0.02		0.02	0.03	0.01	0.01				0.01		0.01			0.01		0.02	0.01	0.02				0.01	0.01	0.01	0.01	0.01		0.01													0.01	0.01	0.01			0.03	0.02	0.02	0.03		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Ga0077550	0.01	0.02	0.04	0.03	0.04	0.05	0.05	0.02	0.03	0.06	0.03	0.04	0.01	0.03	0.02	0.03	0.02	0.02	0.02	0.02	0.04	0.01	0.04	0.01	0.06	0.04	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.04	0.04	0.05		0.01	0.02	0.03			0.04	0.01	0.03	0.08	0.04	0.02	0.01	0.22	0.16	0.08	0.06		0.04
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__JAHZJA01		0.01	0.01	0.01	0.02	0.02	0.02		0.02	0.01	0.02	0.01	0.01		0.01		0.01	0.01		0.01	0.01		0.01		0.01	0.01			0.01			0.01					0.01	0.01	0.01										0.01		0.01		0.02	0.01	0.04	0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Nannocystis	0.01	0.01	0.01	0.02	0.01		0.01		0.02	0.02	0.02	0.01		0.01		0.01	0.01		0.01	0.01	0.01			0.01	0.01				0.04	0.01		0.02	0.02				0.01								0.03	0.02	0.01	0.02	0.05		0.02	0.02	0.01	0.01	0.02	0.04		0.04
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__JAEUJZ01; g__JAEUJZ01			0.01	0.01				0.01			0.02						0.01						0.01				0.01		0.01				0.01								0.0			0.01					0.01					0.01	0.01	0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__JAEUJZ01; g__JAGNNG01	0.01	0.01	0.01	0.02	0.01		0.01	0.01		0.01	0.02		0.01	0.01		0.01					0.01		0.01	0.01		0.01	0.02		0.01	0.0				0.01		0.01	0.0				0.01			0.01		0.01			0.01			0.01	0.01			0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__JAEUJZ01; g__JANWXW01		0.02	0.01	0.02	0.01		0.01	0.01	0.01	0.01	0.02	0.01	0.01			0.01					0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.0						0.01	0.01	0.01			0.01	0.01	0.01	0.02	0.0	0.01		0.01					0.01	0.01	0.01	0.0		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__Palsa-1104; g__JAHFDT01		0.01	0.01	0.01	0.01					0.01	0.01	0.01	0.01			0.01	0.01				0.01		0.01			0.01	0.01			0.0		0.01	0.01		0.01	0.01			0.01				0.01					0.01								0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__Palsa-1104; g__JAHFDU01		0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.02		0.01	0.01	0.01	0.01		0.0	0.01							0.01	0.01				0.01					0.01	0.01				0.01	0.01		0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__Palsa-1104; g__PALSA-1104	0.02	0.02	0.06	0.06	0.06	0.04	0.03	0.01	0.05	0.03	0.05	0.07	0.02	0.03	0.04	0.06	0.06	0.04	0.03	0.03	0.05	0.05	0.12	0.02	0.03	0.06	0.07	0.03	0.04	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.02	0.04	0.03	0.02	0.03	0.02	0.06	0.01	0.01	0.02	0.01	0.02	0.03	0.02	0.01	0.02	0.02	0.03	0.06	0.03	0.02	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__Palsa-1104; g__PALSA-1153	0.0				0.0	0.01			0.01			0.01											0.01				0.01		0.01														0.01									0.01						
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Palsa-1104; f__Palsa-1104; g__SHYY01	0.01	0.02	0.02	0.03	0.01	0.03	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.03	0.02	0.02	0.01	0.01	0.03	0.04	0.07	0.01	0.01	0.02	0.03	0.03	0.02	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.03	0.01	0.02	0.01	0.03	0.01		0.01		0.02	0.01	0.01		0.01	0.01	0.02	0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__GCA-016699535; g__GCA-016699535					0.0			0.01																																													0.01	0.01				
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Ga0077539; g__CAISKJ01																													0.01																0.01			0.01								0.01		0.0
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Ga0077539; g__Ga0077539	0.02	0.01	0.02	0.01	0.01			0.01		0.01			0.02	0.01					0.01	0.01					0.01		0.01	0.01	0.01	0.0	0.01			0.01			0.01			0.01	0.01				0.01	0.01	0.01		0.01	0.01		0.01			0.01	0.02		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Ga0077539; g__JAEYZO01			0.01																																										0.0													
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Ga0077539; g__SCUS01	0.01		0.01		0.01						0.01								0.01										0.01															0.01	0.01	0.01	0.01			0.01		0.01		0.01		0.01	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JADJMO01; g__CAIXWQ01	0.01	0.01	0.01	0.01	0.01			0.01		0.0	0.01		0.01					0.01					0.01			0.01	0.01		0.01		0.01										0.01				0.01			0.01		0.01	0.01	0.01			0.01	0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JADJMO01; g__JALHOE01	0.07	0.06	0.03	0.06	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.05	0.03		0.01			0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.03	0.02	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.0	0.01	0.02				0.01		0.01	0.01	0.06	0.04	0.04	0.04	0.03	0.04	0.02	0.02	0.01	0.02	0.02	0.07	0.04	0.03
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JADJQN01; g__CAIUAC01	0.01	0.01	0.01		0.02		0.01	0.01		0.01	0.01	0.01	0.02			0.01		0.01	0.01		0.01	0.01		0.01	0.01	0.01	0.02		0.02	0.01	0.01	0.01	0.01	0.02		0.01	0.01						0.01		0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.02	0.01	0.01	0.02		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JADJQN01; g__JADJQN01	0.01	0.01		0.01		0.01	0.01		0.01	0.01	0.02	0.01								0.01									0.01				0.01			0.01	0.01									0.01	0.01		0.01				0.02	0.01	0.01	0.02		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JADZFZ01; g__JADZFZ01											0.01																																															
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JAFGIB01; g__JADGRF01	0.08	0.1	0.2	0.05	0.14	0.06	0.15	0.21	0.16	0.23	0.19	0.19	0.09	0.06	0.03	0.05	0.05	0.1	0.07	0.04	0.08	0.07	0.06	0.02	0.03	0.12	0.1	0.02	0.06	0.04	0.05	0.2	0.3	0.22	0.06	0.02	0.3	0.06	0.06	0.03	0.02	0.02	0.05	0.03	0.07	0.14	0.13	0.06	0.11	0.07	0.1	0.14	0.35	0.18	0.14	0.29	0.08	0.11
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JAFGIB01; g__JAFGIB01										0.01	0.01	0.01							0.01																		0.01																0.01	0.01	0.01			
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JAKSBK01; g__JAKSBK01			0.01		0.01		0.01			0.0	0.01	0.01	0.01								0.01					0.01	0.01	0.01	0.01		0.01	0.01					0.01						0.01			0.01				0.01			0.01		0.01	0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__JANWZI01; g__JANWZI01																				0.01															0.01			0.01																	0.01			
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Byssovorax	0.01	0.01	0.01	0.01	0.02	0.01		0.01	0.01			0.02	0.01	0.01				0.01			0.01								0.01							0.01					0.02	0.01		0.01	0.01	0.0	0.01	0.01	0.02	0.01	0.01	0.01		0.01		0.03	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__CAITIQ01	0.05	0.05	0.1	0.05	0.06	0.05	0.07	0.11	0.05	0.06	0.05	0.07	0.06	0.06	0.04	0.05	0.02	0.02	0.06	0.05	0.06	0.02	0.05	0.03	0.03	0.05	0.04	0.06	0.07	0.03	0.02	0.06	0.04	0.04	0.02	0.05	0.05	0.02	0.05	0.04	0.05	0.04	0.05	0.05	0.07	0.06	0.03	0.05	0.09	0.08	0.04	0.06	0.19	0.1	0.06	0.11	0.06	0.08
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__CAITLX01	0.01	0.01	0.01	0.01	0.04	0.02	0.02	0.02	0.03	0.03	0.04	0.03	0.02	0.02	0.03	0.02	0.01	0.03	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.02	0.03		0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01		0.01	0.01	0.02	0.04	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__CAITRH01					0.0					0.01			0.01																0.01																										0.01			
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__CAIVJW01		0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01		0.01	0.01	0.01	0.01	0.01	0.01			0.01	0.01						0.01		0.01		0.01		0.01	0.01	0.01	0.01			0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Chondromyces	0.01	0.01	0.02	0.02	0.03	0.02	0.02	0.01	0.02	0.01	0.01	0.02		0.01		0.01		0.01		0.01	0.02		0.01			0.01	0.02	0.01	0.02			0.01	0.01	0.01		0.01			0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.02		0.03	0.02	0.02	0.02	0.03	0.02	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JAAFHV01			0.03	0.01	0.01	0.01	0.01		0.01	0.01	0.02	0.01	0.01	0.01		0.01	0.01		0.01				0.01			0.01	0.01	0.01	0.01	0.0			0.01	0.01			0.01	0.01		0.01			0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JABFRG01																											0.01																													0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JABSRN01							0.01									0.01																0.01	0.01																			0.01		0.01		0.01		
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JACKEA01	0.03	0.04	0.07	0.04	0.07	0.05	0.06	0.05	0.08	0.05	0.03	0.06	0.08	0.02	0.06	0.05	0.05	0.05	0.05	0.09	0.06	0.04	0.06	0.02	0.08	0.09	0.03	0.04	0.03	0.02	0.04	0.03	0.05	0.06	0.02	0.07	0.05	0.04	0.04	0.05	0.04	0.06	0.06	0.04	0.02	0.03	0.03	0.04	0.03	0.03	0.02	0.04	0.07	0.05	0.07	0.05	0.04	0.02
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JACQWT01			0.01												0.01					0.01	0.01	0.01			0.01			0.01											0.01				0.01															
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JACRCQ01				0.01			0.0		0.01	0.01	0.01			0.01					0.01				0.01									0.01							0.01		0.0		0.01						0.01			0.01		0.01	0.01	0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JACRDA01			0.01	0.01	0.0					0.01					0.01	0.01				0.01			0.01					0.01																									0.01					
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JADJCA01	0.01		0.04	0.01	0.02							0.02		0.01				0.02					0.02			0.01	0.02										0.01								0.01		0.01		0.01	0.01						0.01		0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JADJKB01	0.05	0.05	0.18	0.08	0.13	0.1	0.1	0.12	0.09	0.11	0.07	0.09	0.11	0.05	0.09	0.1	0.1	0.08	0.08	0.13	0.09	0.07	0.1	0.03	0.11	0.14	0.06	0.09	0.07	0.03	0.07	0.09	0.04	0.12	0.02	0.14	0.1	0.09	0.1	0.08	0.13	0.1	0.08	0.07	0.01	0.05	0.07	0.07	0.08	0.06	0.02	0.09	0.13	0.11	0.15	0.09	0.09	0.05
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JADJRH01	0.01	0.03	0.02	0.03	0.04	0.03	0.02	0.01	0.02	0.03	0.03	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.01	0.01	0.02	0.01	0.03	0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.01		0.02		0.01	0.01	0.01	0.01		0.03	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JADLEQ01	0.01		0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.0	0.01			0.01	0.01	0.01	0.01			0.01		0.01		0.01	0.01				0.0	0.01	0.01		0.01		0.01	0.02		0.01		0.01											0.01	0.01		0.01	0.0	0.01	
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JADLFU01			0.01	0.01	0.0	0.01						0.01																	0.01	0.0							0.01											0.0							0.01	0.01	0.01	
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JAEWRL01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01			0.01			0.01	0.03	0.01	0.01		0.01	0.01				0.01	0.01					0.01	0.02	0.01			0.02		0.01		0.01			0.01			0.01	0.01		0.01		0.01	0.01	0.01		0.01	0.01	
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JAEZYZ01	0.01	0.01	0.04	0.02	0.02	0.02	0.02	0.01	0.03	0.03	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.02	0.03	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.03	0.01	0.02	0.02	0.01	0.01
Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__JAFGBI01					0.01	0.01										0.01	0.01									0.01								0.01			0.01						0.01						0.01			0.01						
