accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
04014	AbrB	AbrB/MraZ DNA-binding domain	397909	1745	0.0012866767388754075	MazE_antitoxin	Antidote-toxin recognition MazE, bacterial antitoxin. AbrB-like is a family of small proteins that operate in conjunction with a cognate toxin molecule. The commonly attributed role of toxin-antitoxin systems is to maintain low-copy number plasmids from one generation to the next. Such gene-pairs are also found on chromosomes and to be associated with a number of biological functions such as: reduction of protein synthesis, gene regulation and retardation of cell growth under nutritional stress. This family includes proteins from a number of different pairings, eg MazE, AbrB, VapB, PhoU, PemI-like and SpoVT. MazE is the antidote to the toxin MazF of E. coli. MazE-MazF in E. coli is a regulated prokaryotic chromosomal addiction module. MazE antidote is degraded by the ClpPA protease of the bacterial proteasome. MazE-MazF is thought to play a role in programmed cell death when cells suffer nutrient deprivation, and MazE-MazF modules have also been implicated in the bacteriostatic effects of other addiction modules.	44	CL0132	Antidote-toxin recognition MazE, bacterial antitoxin	AbrB/MraZ DNA-binding domain
01527	HTH	Helix-turn-helix clan	426308	1726	0.001272667078108283	HTH_Tnp_1	Transposase. Transposase proteins are necessary for efficient DNA transposition. This family consists of various E. coli insertion elements and other bacterial transposases some of which are members of the IS3 family.	75	CL0123	Transposase	Helix-turn-helix clan
02609			426872	1697	0.0012512839116742506	Exonuc_VII_S	Exonuclease VII small subunit. This family consist of exonuclease VII, small subunit EC:3.1.11.6 This enzyme catalyzes exonucleolytic cleavage in either 5'->3' or 3'->5' direction to yield 5'-phosphomononucleotides. This exonuclease VII enzyme is composed of one large subunit and 4 small ones.	52		Exonuclease VII small subunit	Exonuclease VII small subunit
14026	Dim_A_B_barrel	Dimeric alpha/beta barrel superfamily	433654	1679	0.0012380116014738163	DUF4242	Protein of unknown function (DUF4242). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria and archaea. Proteins in this family are typically between 90 and 170 amino acids in length. There is a single completely conserved residue C that may be functionally important.	74	CL0032	Nickel responsive protein SCO4226-like	Dimeric alpha/beta barrel superfamily
00462	Thioredoxin	Thioredoxin-like	425695	1666	0.001228426044106836	Glutaredoxin	Glutaredoxin. 	60	CL0172	Glutaredoxin	Thioredoxin-like
01842	ACT	ACT-like domain	426468	1638	0.0012077802282394945	ACT	ACT domain. This family of domains generally have a regulatory role. ACT domains are linked to a wide range of metabolic enzymes that are regulated by amino acid concentration. Pairs of ACT domains bind specifically to a particular amino acid leading to regulation of the linked enzyme. The ACT domain is found in: D-3-phosphoglycerate dehydrogenase EC:1.1.1.95, which is inhibited by serine. Aspartokinase EC:2.7.2.4, which is regulated by lysine. Acetolactate synthase small regulatory subunit, which is inhibited by valine. Phenylalanine-4-hydroxylase EC:1.14.16.1, which is regulated by phenylalanine. Prephenate dehydrogenase EC:4.2.1.51. formyltetrahydrofolate deformylase EC:3.5.1.10, which is activated by methionine and inhibited by glycine. GTP pyrophosphokinase EC:2.7.6.5.	66	CL0070	ACT domain	ACT-like domain
01192			426112	1621	0.001195245268605751	RNA_pol_Rpb6	RNA polymerase Rpb6. Rpb6 is an essential subunit in the eukaryotic polymerases Pol I, II and III. This family also contains the bacterial equivalent to Rpb6, the omega subunit. Rpb6 and omega are structurally conserved and both function in polymerase assembly.	52		RNA polymerase Rpb6	RNA polymerase Rpb6
00584			425766	1606	0.0011841850101053895	SecE	SecE/Sec61-gamma subunits of protein translocation complex. SecE is part of the SecYEG complex in bacteria which translocates proteins from the cytoplasm. In eukaryotes the complex, made from Sec61-gamma and Sec61-alpha translocates protein from the cytoplasm to the ER. Archaea have a similar complex.	55		SecE/Sec61-gamma subunits of protein translocation complex	SecE/Sec61-gamma subunits of protein translocation complex
01783	Zn_Beta_Ribbon	Zinc beta-ribbon	426430	1597	0.0011775488550051724	Ribosomal_L32p	Ribosomal L32p protein family. 	56	CL0167	Ribosomal L32p protein family	Ribosomal protein
00276			425575	1588	0.0011709126999049555	Ribosomal_L23	Ribosomal protein L23. 	86		Ribosomal protein L23	Ribosomal protein
02700			426932	1579	0.0011642765448047385	PurS	Phosphoribosylformylglycinamidine (FGAM) synthase. This family forms a component of the de novo purine biosynthesis pathway.	77		Phosphoribosylformylglycinamidine (FGAM) synthase	Phosphoribosylformylglycinamidine (FGAM) synthase
00886			425930	1576	0.0011620644931046662	Ribosomal_S16	Ribosomal protein S16. 	61		Ribosomal protein S16	Ribosomal protein
12838	4Fe-4S	4Fe-4S ferredoxins	432823	1561	0.0011510042346043045	Fer4_7	4Fe-4S dicluster domain. Superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. Structure of the domain is an alpha-antiparallel beta sandwich. Domain contains two 4Fe4S clusters.	51	CL0344	4Fe-4S dicluster domain	4Fe-4S ferredoxins
03966	Zn_Beta_Ribbon	Zinc beta-ribbon	397869	1527	0.001125934315336818	Trm112p	Trm112p-like protein. The function of this family is uncertain. The bacterial members are about 60-70 amino acids in length and the eukaryotic examples are about 120 amino acids in length. The C-terminus contains the strongest conservation. Trm112p is required for tRNA methylation in S. cerevisiae and is found in complexes with 2 tRNA methylases (TRM9 and TRM11) also with putative methyltransferase YDR140W. The zinc-finger protein Ynr046w is plurifunctional and a component of the eRF1 methyltransferase in yeast. The crystal structure of Ynr046w has been determined to 1.7 A resolution. It comprises a zinc-binding domain built from both the N- and C-terminal sequences and an inserted domain, absent from bacterial and archaeal orthologs of the protein, composed of three alpha-helices.	44	CL0167	Trm112p-like protein	Zinc beta-ribbon
02686	GatC-like	Glu-tRNAGln amidotransferase C subunit-like superfamily	426926	1512	0.0011148740568364564	Glu-tRNAGln	Glu-tRNAGln amidotransferase C subunit. This is a family of Glu-tRNAGln amidotransferase C subunits. The Glu-tRNA Gln amidotransferase enzyme itself is an important translational fidelity mechanism replacing incorrectly charged Glu-tRNAGln with the correct Gln-tRANGln via transmidation of the misacylated Glu-tRNAGln. This activity supplements the lack of glutaminyl-tRNA synthetase activity in gram-positive eubacterteria, cyanobacteria, Archaea, and organelles.	70	CL0735	Glu-tRNAGln amidotransferase C subunit	Glu-tRNAGln amidotransferase C subunit-like superfamily
01084	HTH	Helix-turn-helix clan	426036	1502	0.0011075005511695486	Ribosomal_S18	Ribosomal protein S18. 	52	CL0123	Ribosomal protein S18	Ribosomal protein
