accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
08533	GHD	Glycosyl hydrolase domain superfamily	400716	8	5.898804533526224e-06	Glyco_hydro_42C	Beta-galactosidase C-terminal domain. This domain is found at the C-terminus of beta-galactosidase enzymes that belong to the glycosyl hydrolase 42 family.	58	CL0369	Beta-galactosidase C-terminal domain	Glycosyl hydrolase domain superfamily
13308			433105	8	5.898804533526224e-06	YARHG	YARHG domain. This presumed extracellular domain is about 70 amino acids in length. It is named YARHG after a conserved motif in the sequence. This domain is associated with peptidases and bacterial kinase proteins. Its molecular function is unknown.	84		YARHG domain	YARHG domain
18571			408355	8	5.898804533526224e-06	VWA_3_C	von Willebrand factor type A C-terminal domain. This is the C-terminal domain of von Willebrand factor type A pfam13768.	47		von Willebrand factor type A C-terminal domain	von Willebrand factor type A C-terminal domain
07963			429756	8	5.898804533526224e-06	N_methyl	Prokaryotic N-terminal methylation motif. This short motif directs methylation of the conserved phenylalanine residue. It is most often found at the N-terminus of pilins and other proteins involved in secretion, see pfam00114, pfam05946, pfam02501 and pfam07596.	27		Prokaryotic N-terminal methylation motif	Prokaryotic N-terminal methylation motif
20095			437927	8	5.898804533526224e-06	DUF6485	Domain of unknown function (DUF6485). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are approximately 80 amino acids in length.	70		Domain of unknown function (DUF6485)	Domain of unknown function
09127	TPR	Tetratrico peptide repeat superfamily	430422	8	5.898804533526224e-06	Leuk-A4-hydro_C	Leukotriene A4 hydrolase, C-terminal. Members of this family adopt a structure consisting of two layers of parallel alpha-helices, five in the inner layer and four in the outer, arranged in an antiparallel manner, with perpendicular loops containing short helical segments on top. They are required for the formation of a deep cleft harbouring the catalytic Zn2+ site in Leukotriene A4 hydrolase.	112	CL0020	Leukotriene A4 hydrolase, C-terminal	Tetratrico peptide repeat superfamily
07027			429254	8	5.898804533526224e-06	DUF1318	Protein of unknown function (DUF1318). This family consists of several bacterial proteins of around 100 residues in length and is often known as YdbL. The function of this family is unknown.	92		Protein of unknown function (DUF1318)	Domain of unknown function
12669			432710	8	5.898804533526224e-06	P12	Virus attachment protein p12 family. This family of proteins are related to Virus attachment protein p12 from the African swine fever virus. The family appears to contain an N-terminal signal peptide followed by a short cysteine rich region. The cysteine rich region is extremely variable and it is possible that only the N-terminal region is homologous.	45		FeoB-associated Cys-rich membrane protein	FeoB-associated Cys-rich membrane protein
14853	TPR	Tetratrico peptide repeat superfamily	434269	8	5.898804533526224e-06	Fis1_TPR_C	Fis1 C-terminal tetratricopeptide repeat. The mitochondrial fission protein Fis1 consists of two tetratricopeptide repeats. This domain is the C-terminal tetratricopeptide repeat	53	CL0020	Fis1 C-terminal tetratricopeptide repeat	Tetratrico peptide repeat superfamily
03724	Calycin	Calycin superfamily	427465	8	5.898804533526224e-06	META	META domain. Small domain family found in proteins of of unknown function. Some are secreted and implicated in motility in bacteria. Also occurs in Leishmania spp. as an essential gene. Over-expression in L.amazonensis increases virulence. A pair of cysteine residues show correlated conservation, suggesting that they form a disulphide bond.	109	CL0116	META domain	Calycin superfamily
18899	YgaC_TfoX-N	YgaC/TfoX-N like superfamily	436817	8	5.898804533526224e-06	DUF5655	Domain of unknown function (DUF5655). This family of proteins is found in bacteria, archaea, eukaryotes and viruses. Proteins in this family are typically between 122 and 304 amino acids in length.	110	CL0631	Domain of unknown function (DUF5655)	YgaC/TfoX-N like superfamily
10905			402477	8	5.898804533526224e-06	DUF2695	Protein of unknown function (DUF2695). This bacterial family of proteins has no known function.	53		Protein of unknown function (DUF2695)	Domain of unknown function
01248	PELOTA	Pelota - RNA ribose binding superfamily	426153	8	5.898804533526224e-06	Ribosomal_L7Ae	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family. This family includes: Ribosomal L7A from metazoa, Ribosomal L8-A and L8-B from fungi, 30S ribosomal protein HS6 from archaebacteria, 40S ribosomal protein S12 from eukaryotes, Ribosomal protein L30 from eukaryotes and archaebacteria. Gadd45 and MyD118.	95	CL0101	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	Ribosomal protein
14114	Dim_A_B_barrel	Dimeric alpha/beta barrel superfamily	433728	8	5.898804533526224e-06	DUF4286	Domain of unknown function (DUF4286). This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria and eukaryotes. Proteins in this family are typically between 100 and 112 amino acids in length.	95	CL0032	Domain of unknown function (DUF4286)	Dimeric alpha/beta barrel superfamily
02026			426570	8	5.898804533526224e-06	RyR	RyR domain. This domain is called RyR for Ryanodine receptor. The domain is found in four copies in the ryanodine receptor. The function of this domain is unknown.	91		RyR domain	RyR domain
01219			426133	8	5.898804533526224e-06	DAGK_prokar	Prokaryotic diacylglycerol kinase. 	102		Prokaryotic diacylglycerol kinase	Prokaryotic diacylglycerol kinase
18741	PDDEXK	PD-(D/E)XK nuclease superfamily	436705	8	5.898804533526224e-06	MTES_1575	REase_MTES_1575. Vsr REase Fold. Fused to HEPN (SWT1/Abi2 family), along with Transglutaminase and wHTH.	96	CL0236	REase_MTES_1575	PD-(D/E)XK nuclease superfamily
00453			425691	8	5.898804533526224e-06	Ribosomal_L20	Ribosomal protein L20. 	104		Ribosomal protein L20	Ribosomal protein
10648	E-set	Ig-like fold superfamily (E-set)	431416	8	5.898804533526224e-06	Gmad2	Immunoglobulin-like domain of bacterial spore germination. This domain is found linked to the GerMN domain pfam10646 in some bacterial proteins. It is predicted to contain an immunoglobulin-like all-beta fold.	86	CL0159	Immunoglobulin-like domain of bacterial spore germination	Ig-like fold superfamily (E-set)
05406			398851	7	5.161453966835446e-06	WGR	WGR domain. This domain is found in a variety of polyA polymerases as well as the E. coli molybdate metabolism regulator and other proteins of unknown function. I have called this domain WGR after the most conserved central motif of the domain. The domain is found in isolation in proteins such as Rhizobium radiobacter Ych and is between 70 and 80 residues in length. I propose that this may be a nucleic acid binding domain.	79		WGR domain	WGR domain
09394	E-set	Ig-like fold superfamily (E-set)	430581	7	5.161453966835446e-06	Inhibitor_I42	Chagasin family peptidase inhibitor I42. Chagasin is a cysteine peptidase inhibitor which forms a beta barrel structure.	89	CL0159	Chagasin family peptidase inhibitor I42	Ig-like fold superfamily (E-set)
06519	TolA-TonB-Cterm	TolA/TonB C-terminal	399492	7	5.161453966835446e-06	TolA	TolA C-terminal. This family consists of several bacterial TolA proteins as well as two eukaryotic proteins of unknown function. Tol proteins are involved in the translocation of group A colicins. Colicins are bacterial protein toxins, which are active against Escherichia coli and other related species (See pfam01024). TolA is anchored to the cytoplasmic membrane by a single membrane spanning segment near the N-terminus, leaving most of the protein exposed to the periplasm.	94	CL0428	TolA C-terminal	TolA/TonB C-terminal
03958			427615	7	5.161453966835446e-06	Secretin_N	Bacterial type II/III secretion system short domain. This is a short, often repeated, domain found in bacterial type II/III secretory system proteins. All previous NolW-like domains fall into this family.	68		Bacterial type II/III secretion system short domain	Bacterial type II/III secretion system short domain
11346			431830	7	5.161453966835446e-06	DUF3149	Protein of unknown function (DUF3149). This bacterial family of proteins has no known function.	37		Protein of unknown function (DUF3149)	Domain of unknown function
04020			427655	7	5.161453966835446e-06	Phage_holin_4_2	Mycobacterial 4 TMS phage holin, superfamily IV. These proteins are predicted transmembrane proteins with probably four transmembrane spans. The 1.E.40 is represented by the mycobacterial 4 phage holin, but it also contains many cyanobacterial. proteobacterial and firmicute proteins. Holins are encoded within the genomes of Gram-positive and Gram-negative bacteria as well as in those of the bacteriophage of these organisms. The primary function of holins appears to be transport of murein hydrolases across the cytoplasmic membrane to the cell wall where these enzymes hydrolyze the cell wall polymer as a prelude to cell lysis. When chromosomally encoded the enzymes are therefore autolysins. Holins may also facilitate leakage of electrolytes and nutrients from the cell cytoplasm, thereby promoting cell death. Some may catalyze export of nucleases.	105		Mycobacterial 4 TMS phage holin, superfamily IV	Mycobacterial 4 TMS phage holin
18029	Glyoxalase	VOC superfamily	436220	7	5.161453966835446e-06	Glyoxalase_6	Glyoxalase-like domain. This entry comprises a diverse set of domains related to the Glyoxalase domain. The exact specificity of these proteins is uncertain.	110	CL0104	Glyoxalase-like domain	VOC superfamily
14894			405564	7	5.161453966835446e-06	Lsm_C	Lsm C-terminal. This domain is found at the C-terminus of archaeal Lsm (like-Sm) proteins.	57		Lsm C-terminal	Lsm C-terminal
10109	Phage_TACs	Phage tail assembly chaperone	431061	7	5.161453966835446e-06	Phage_TAC_7	Phage tail assembly chaperone proteins, E, or 41 or 14. This is family of various Myoviridae bacteriophage tail assembly chaperone, or TAC, proteins.	79	CL0567	Phage tail assembly chaperone proteins, E, or 41 or 14	Phage tail assembly chaperone
06056	HTH	Helix-turn-helix clan	428745	7	5.161453966835446e-06	Terminase_5	Putative ATPase subunit of terminase (gpP-like). This family of proteins are annotated as ATPase subunits of phage terminase after. Terminases are viral proteins that are involved in packaging viral DNA into the capsid.	58	CL0123	Putative ATPase subunit of terminase (gpP-like)	Helix-turn-helix clan
18993			436895	7	5.161453966835446e-06	Rv0078B	Rv0078B-related antitoxin. Putative antitoxin protein according to TASmania database.	63		Rv0078B-related antitoxin	Rv0078B-related antitoxin
04191	Steroid_dh	Steroid oxidoreductase superfamily	427773	7	5.161453966835446e-06	PEMT	Phospholipid methyltransferase. The S. cerevisiae phospholipid methyltransferase (EC:2.1.1.16) has a broad substrate specificity of unsaturated phospholipids.	105	CL0115	Phospholipid methyltransferase	Steroid oxidoreductase superfamily
07615	MTH1187-YkoF	MTH1187/YkoF-like superfamily	400128	7	5.161453966835446e-06	Ykof	YKOF-related Family. 	81	CL0360	YKOF-related Family	MTH1187/YkoF-like superfamily
17937	TetR_C	TetR protein, C-terminal domain-like	436157	7	5.161453966835446e-06	TetR_C_28	Tetracyclin repressor-like, C-terminal domain. TetR family regulators are involved in the transcriptional control of multidrug efflux pumps, pathways for the biosynthesis of antibiotics, response to osmotic stress and toxic chemicals, control of catabolic pathways, differentiation processes, and pathogenicity. The TetR proteins identified in overm ultiple genera of bacteria and archaea share a common helix-turn-helix (HTH) structure in their DNA-binding domain. However, TetR proteins can work in different ways: they can bind a target operator directly to exert their effect (e.g. TetR binds Tet(A) gene to repress it in the absence of tetracycline), or they can be involved in complex regulatory cascades in which the TetR protein can either be modulated by another regulator or TetR can trigger the cellular response. TetR regulates the expression of the membrane-associated tetracycline resistance protein, TetA, which exports the tetracycline antibiotic out of the cell before it can attach to the ribosomes and inhibit protein synthesis. TetR blocks transcription from the genes encoding both TetA and TetR in the absence of antibiotic. The C-terminal domain is multi-helical and is interlocked in the homodimer with the helix-turn-helix (HTH) DNA-binding domain. This entry represents the C-terminal domain present in CgmR (C. glutamicum multidrug-responsive transcriptional repressor), previously called CGL2612 protein. CgmR (CGL2612) from Corynebacterium glutamicum is a multidrug-resistance-related transcription factor belonging to the TetR family. It regulates expression of the immediately upstream gene cgmA (cgl2611) by binding to the operator cgmO in the cgmA promoter. The cgmA gene encodes a permease belonging to the major facilitator superfamily, a protein family composed of bacterial multidrug exporters, and the pair of CgmR and CgmA confers multidrug resistance on C. glutamicum.	97	CL0174	Tetracyclin repressor-like, C-terminal domain	TetR protein, C-terminal domain-like
11660			431986	7	5.161453966835446e-06	DUF3262	Protein of unknown function (DUF3262). This family of proteins with unknown function appears to be restricted to Proteobacteria.	75		Protein of unknown function (DUF3262)	Domain of unknown function
14716	HHH	Helix-hairpin-helix superfamily	434152	7	5.161453966835446e-06	HHH_8	Helix-hairpin-helix domain. 	67	CL0198	Helix-hairpin-helix domain	Helix-hairpin-helix superfamily
09919			430926	7	5.161453966835446e-06	DUF2149	Uncharacterized conserved protein (DUF2149). This domain, found in various hypothetical prokaryotic proteins, has no known function.	92		Uncharacterized conserved protein (DUF2149)	Uncharacterized conserved protein (DUF2149)
03633	GH127_M	Glycoside hydrolase family 127 middle domain-related superfamily	427412	7	5.161453966835446e-06	Glyco_hydro_65C	Glycosyl hydrolase family 65, C-terminal domain. This family of glycosyl hydrolases contains vacuolar acid trehalase and maltose phosphorylase.Maltose phosphorylase (MP) is a dimeric enzyme that catalyzes the conversion of maltose and inorganic phosphate into beta-D-glucose-1-phosphate and glucose. The C-terminal domain forms a two layered jelly roll motif. This domain is situated at the base of the catalytic domain, however its function remains unknown.	51	CL0749	Glycosyl hydrolase family 65, C-terminal domain	Glycoside hydrolase family 127 middle domain-related superfamily
17785	PUA	PUA/ASCH superfamily	436043	7	5.161453966835446e-06	PUA_3	PUA-like domain. This PUA-like domain is found at the N-terminus of SAM-dependent methyltransferases.	64	CL0178	PUA-like domain	PUA/ASCH superfamily
18602			436612	7	5.161453966835446e-06	Rap1a	Rap1a immunity proteins. The structures of the immunity proteins, Rap1a, responsible for the inhibition and neutralization of Ssp1 endopeptidase, revealed two distinct folds. The structure of the Ssp1-Rap1a complex revealed a tightly bound heteromeric assembly with two effector molecules flanking a Rap1a dimer. The Rap1a subunit displays a compact globular structure constructed from five alpha-helices that assemble to form the highly stable symmetric dimer.	91		Rap1a immunity proteins	Rap1a immunity proteins
18065	OB_enterotoxin	Bacterial enterotoxin OB-fold	436245	7	5.161453966835446e-06	PatG_C	PatG C-terminal. This is the C-terminal domain of Prochloron sp. PatG, which process the precursor peptide to yield the cyclic Patellamide. The C-terminal domain of PatG is 56% structurally homologous to the C-terminal domain of PatA.	115	CL0658	PatG C-terminal	Bacterial enterotoxin OB-fold
07784			429658	7	5.161453966835446e-06	DUF1622	Protein of unknown function (DUF1622). This is a family of 14 highly conserved sequences, from hypothetical proteins expressed by both bacterial and archaeal species.	77		Protein of unknown function (DUF1622)	Domain of unknown function
09791			430829	7	5.161453966835446e-06	Oxidored-like	Oxidoreductase-like protein, N-terminal. Members of this family are found in the N terminal region of various oxidoreductase like proteins. Their exact function is, as yet, unknown.	45		Oxidoreductase-like protein, N-terminal	Oxidoreductase-like protein
02069	Metallothionein	Metal-bound fold, usually iron, metallothionein superfamily	426585	7	5.161453966835446e-06	Metallothio_Pro	Prokaryotic metallothionein. 	51	CL0461	Prokaryotic metallothionein	Metal-bound fold, usually iron, metallothionein superfamily
19937			437769	7	5.161453966835446e-06	GldC-like	Gliding motility-associated protein GldC-like. This family of uncharacterized proteins is found in Bacteroidetes. Proteins is these family are likely to be related to the Gliding motility-associated protein GldC, a protein linked to a type of rapid surface gliding motility found in certain Bacteroidetes such as Cytophaga johnsonae (Flavobacterium johnsoniae) and Cytophaga hutchinsonii. Gliding motility appears closely linked to chitin utilisation in the model species C. johnsonae.	90		Gliding motility-associated protein GldC-like	Gliding motility-associated protein GldC-like
10400	HTH	Helix-turn-helix clan	431257	7	5.161453966835446e-06	Vir_act_alpha_C	Virulence activator alpha C-term. This structure is homo-dimeric, and the domain here is the C-terminal half of the structure, often associated with PadR upstream, (pfam03551), which is a transcriptional regulator.	85	CL0123	Virulence activator alpha C-term	Helix-turn-helix clan
00932	E-set	Ig-like fold superfamily (E-set)	425951	7	5.161453966835446e-06	LTD	Lamin Tail Domain. The lamin-tail domain (LTD), which has an immunoglobulin (Ig) fold, is found in Nuclear Lamins, Chlo1887 from Chloroflexus, and several bacterial proteins where it occurs with membrane associated hydrolases of the metallo-beta-lactamase,synaptojanin, and calcineurin-like phosphoesterase superfamilies.	103	CL0159	Lamin Tail Domain	Ig-like fold superfamily (E-set)
00382	Cyclin	Cyclin-like superfamily	425652	7	5.161453966835446e-06	TFIIB	Transcription factor TFIIB repeat. 	92	CL0065	Transcription factor TFIIB repeat	Cyclin-like superfamily
00636	RNase_III	RNase III domain-like superfamily	395511	7	5.161453966835446e-06	Ribonuclease_3	Ribonuclease III domain. 	101	CL0539	Ribonuclease III domain	RNase III domain-like superfamily
07949			400345	7	5.161453966835446e-06	YbbR	YbbR-like protein. The members of this family are are all hypothetical bacterial proteins of unknown function, and are similar to the YbbR protein expressed by Bacillus subtilis. One member is annotated as an uncharacterized secreted protein, whereas another member is described as a hypothetical protein in the 5'region of the def gene of Thermus thermophilus, which encodes a deformylase, but no further information was found in either case. This region is found repeated up to four times in many members of this family.	80		YbbR-like protein	YbbR-like protein
02675	TBP-like	TATA-binding protein like	426918	7	5.161453966835446e-06	AdoMet_dc	S-adenosylmethionine decarboxylase. This family contains several S-adenosylmethionine decarboxylase proteins from bacterial and archaebacterial species. S-adenosylmethionine decarboxylase (AdoMetDC), a key enzyme in the biosynthesis of spermidine and spermine, is first synthesized as a proenzyme, which is cleaved post translationally to form alpha and beta subunits. The alpha subunit contains a covalently bound pyruvoyl group derived from serine that is essential for activity.	107	CL0407	S-adenosylmethionine decarboxylase	TATA-binding protein like
07743			429631	7	5.161453966835446e-06	HSCB_C	HSCB C-terminal oligomerization domain. This domain is the HSCB C-terminal oligomerization domain and is found on co-chaperone proteins.	75		HSCB C-terminal oligomerisation domain	HSCB C-terminal oligomerisation domain
06133			428784	7	5.161453966835446e-06	Com_YlbF	Control of competence regulator ComK, YlbF/YmcA. YlbF Is a family of short Gram-positive and archaeal proteins that includes both YlbF and YmcA which may interact synergistically. The family is necessary for correct biofilm formation, as null mutants of ymcA and ylbF fail to form pellicles at air-liquid interfaces and grow on solid media as smooth, undifferentiated colonies. During development, YmcA, YlbF and YaaT, family PSPI, pfam04468, interact directly with one another forming a stable ternary complex, in vitro. All three proteins are required for competence, sporulation and the formation of biofilms. The YmcA-YlbF-YaaT complex affects the phosphotransfer between Spo0F and Spo0B, thus accelerating the production of Spo0A~P. The three processes of biofilm formation, mature spore formation and competence all require the active, phosphorylated form of Spo0A, as Spo0A-P.	103		Control of competence regulator ComK, YlbF/YmcA	Control of competence regulator ComK
00832			425894	7	5.161453966835446e-06	Ribosomal_L39	Ribosomal L39 protein. 	41		Ribosomal L39 protein	Ribosomal protein
13495	l-integrase_N	lambda integrase N-terminal domain	433256	7	5.161453966835446e-06	Phage_int_SAM_4	Phage integrase, N-terminal SAM-like domain. 	84	CL0469	Phage integrase, N-terminal SAM-like domain	lambda integrase N-terminal domain
11736	OB	OB fold	432034	7	5.161453966835446e-06	DUF3299	Protein of unknown function (DUF3299). This is a family of bacterial proteins of unknown function.	106	CL0021	Protein of unknown function (DUF3299)	OB fold
18918			436831	7	5.161453966835446e-06	DUF5669	Family of unknown function (DUF5669). This is a family of unknown function. Family members are mostly found in gammaproteobacteria.	76		Family of unknown function (DUF5669)	Domain of unknown function
13822			433503	7	5.161453966835446e-06	ACC_epsilon	Acyl-CoA carboxylase epsilon subunit. This family includes the epsilon subunits of propionyl-CoA carboxylase, EC:6.4.1.3, and acetyl-CoA carboxylase, EC:6.4.1.2. These enzymes are involved in the biosynthesis of long-chain fatty acids. The epsilon subunit is necessary for an efficient interaction between the alpha and beta subunits of these enzymes.	60		Acyl-CoA carboxylase epsilon subunit	Acyl-CoA carboxylase epsilon subunit
17263			435821	7	5.161453966835446e-06	DUF5329	Family of unknown function (DUF5329). This is a bacterial family of proteins with unknown function.	93		Family of unknown function (DUF5329)	Domain of unknown function
07677	E-set	Ig-like fold superfamily (E-set)	429588	7	5.161453966835446e-06	A2M_recep	A-macroglobulin receptor. This family includes the receptor domain region of the alpha-2-macroglobulin family.	94	CL0159	A-macroglobulin receptor binding domain	Ig-like fold superfamily (E-set)
17932	TetR_C	TetR protein, C-terminal domain-like	436153	7	5.161453966835446e-06	TetR_C_24	Tetracyclin repressor-like, C-terminal domain. TetR family regulators are involved in the transcriptional control of multidrug efflux pumps, pathways for the biosynthesis of antibiotics, response to osmotic stress and toxic chemicals, control of catabolic pathways, differentiation processes, and pathogenicity. The TetR proteins identified in overm ultiple genera of bacteria and archaea share a common helix-turn-helix (HTH) structure in their DNA-binding domain. However, TetR proteins can work in different ways: they can bind a target operator directly to exert their effect (e.g. TetR binds Tet(A) gene to repress it in the absence of tetracycline), or they can be involved in complex regulatory cascades in which the TetR protein can either be modulated by another regulator or TetR can trigger the cellular response. TetR regulates the expression of the membrane-associated tetracycline resistance protein, TetA, which exports the tetracycline antibiotic out of the cell before it can attach to the ribosomes and inhibit protein synthesis. TetR blocks transcription from the genes encoding both TetA and TetR in the absence of antibiotic. The C-terminal domain is multi-helical and is interlocked in the homodimer with the helix-turn-helix (HTH) DNA-binding domain. This entry represents the C-terminal domain present in family members such as HTH-type transcriptional repressor KstR2 as well as fatty acid metabolism regulator proteins. In Mycobacterium smegmatis, KstR2 is involved in involved in cholesterol catabolism, while YsiA in Bacillus subtilis is involved in fatty acid degradation.	114	CL0174	Tetracyclin repressor-like, C-terminal domain	TetR protein, C-terminal domain-like
05225	HTH	Helix-turn-helix clan	283007	7	5.161453966835446e-06	HTH_psq	helix-turn-helix, Psq domain. This DNA-binding motif is found in four copies in the pipsqueak protein of Drosophila melanogaster. In pipsqueak this domain binds to GAGA sequence.	45	CL0123	helix-turn-helix, Psq domain	Helix-turn-helix clan
08113			285350	7	5.161453966835446e-06	CoxIIa	Cytochrome c oxidase subunit IIa family. This family consists of the cytochrome c oxidase subunit IIa family. The bax-type cytochrome c oxidase from Thermus thermophilus is known as a two subunit enzyme. From its crystal structure, it was discovered that an additional transmembrane helix 'subunit IIa' spans the membrane. This subunit consists of 34 residues forming one helix across the membrane. The presence of this subunit seems to be important for the function of cytochrome c oxidases.	33		Cytochrome c oxidase subunit IIa family	Cytochrome c oxidase subunit IIa family
09392			430579	7	5.161453966835446e-06	T3SS_needle_F	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF. Type III secretion systems are essential virulence determinants for many gram-negative bacterial pathogens. MxiH is an extracellular alpha helical needle that is required for translocation of effector proteins into host cells. Once inside, the effector proteins subvert normal cell function to aid infection. The needle protein F, polymerizes to form a shaft.	67		Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF	Type III secretion needle MxiH
10708			431450	7	5.161453966835446e-06	DUF2510	Protein of unknown function (DUF2510). This is family of proteins conserved in Actinobacteria. Many members are annotated as putative membrane proteins but this could not be confirmed.	35		Protein of unknown function (DUF2510)	Domain of unknown function
07023			429252	7	5.161453966835446e-06	DUF1315	Protein of unknown function (DUF1315). This family consists of several bacterial proteins of around 90 residues in length. The function of this family is unknown.	82		Protein of unknown function (DUF1315)	Domain of unknown function
16347	Alk_phosphatase	Alkaline phosphatase-like	406689	7	5.161453966835446e-06	DUF4976	Domain of unknown function (DUF4976). This family consists of uncharacterized proteins around 530 residues in length and is mainly found in various Bacteroides species. Several proteins in this family are annotated as Arylsulfatases, but the function of this protein is unknown.	103	CL0088	N-sulphoglucosamine sulphohydrolase, C-terminal	Alkaline phosphatase-like
05534	Met_repress	MetJ/Arc repressor, antitoxin of TA systems superfamily	310261	7	5.161453966835446e-06	HicB	HicB family. This family consists of several bacterial HicB related proteins. The function of HicB is unknown although it is thought to be involved in pilus formation. It has been speculated that HicB performs a function antagonistic to that of pili and yet is necessary for invasion of certain niches.	51	CL0057	HicB family	MetJ/Arc repressor, antitoxin of TA systems superfamily
01096	Zn_Beta_Ribbon	Zinc beta-ribbon	426046	7	5.161453966835446e-06	TFIIS_C	Transcription factor S-II (TFIIS). 	39	CL0167	Transcription factor S-II (TFIIS)	Zinc beta-ribbon
05079			428294	7	5.161453966835446e-06	DUF680	Protein of unknown function (DUF680). This family contains several uncharacterized proteins which seem to be found exclusively in Rhizobium loti.	54		Protein of unknown function (DUF680)	Domain of unknown function
19740			437572	7	5.161453966835446e-06	DUF6229	Family of unknown function (DUF6229). This entry represents a member of a biosynthetic gene cluster (BGC). This BGC (BGC0000385) is described by MIBiG as an example of the following biosynthetic class, NRP (non-ribosomal peptide). It includes a member from the lysobactin biosynthetic gene cluster from Lysobacter sp. ATCC 53042. This family appears to be predominantly found in bacteria.	62		Family of unknown function (DUF6229)	Domain of unknown function
10518	TAT	Twin-Arginine Translocation Motif	431334	7	5.161453966835446e-06	TAT_signal	TAT (twin-arginine translocation) pathway signal sequence. 	26	CL0300	TAT (twin-arginine translocation) pathway signal sequence	Twin-Arginine Translocation Motif
05046			428279	7	5.161453966835446e-06	Img2	Mitochondrial large subunit ribosomal protein (Img2). This family of proteins have been identified as part of the mitochondrial large ribosomal subunit in yeast.	83		Mitochondrial large subunit ribosomal protein (Img2)	Ribosomal protein
14478	Ubiquitin	Ubiquitin superfamily	433979	6	4.4241034001446675e-06	DUF4430	Domain of unknown function (DUF4430). Although this family has overlaps with SLBB, the majority of its sequences are unique. Several family members, eg UniProtKB:A0RGA8, that do not overlap have an LPXTG-cell wall anchor at their C-terminus, a SSF_Family 10_polysaccharide_lyase or Glycosyltransferase structure associated with them in the middle region, as shown by InterPro, as well as this domain at the N-terminus.	72	CL0072	Domain of unknown function (DUF4430)	Ubiquitin superfamily
00018	SH3	Src homology-3 domain	394975	6	4.4241034001446675e-06	SH3_1	SH3 domain. SH3 (Src homology 3) domains are often indicative of a protein involved in signal transduction related to cytoskeletal organisation. First described in the Src cytoplasmic tyrosine kinase. The structure is a partly opened beta barrel.	47	CL0010	SH3 domain	Src homology-3 domain
12086			432320	6	4.4241034001446675e-06	DUF3563	Protein of unknown function (DUF3563). This family of proteins is functionally uncharacterized. This protein is found in bacteria. Proteins in this family are about 50 amino acids in length. This protein has conserved AYL and DLE sequence motifs.	61		Protein of unknown function (DUF3563)	Domain of unknown function
17648	YgaC_TfoX-N	YgaC/TfoX-N like superfamily	435942	6	4.4241034001446675e-06	DUF5519	Family of unknown function (DUF5519). This is a family of unknown function.	96	CL0631	Luciferase	YgaC/TfoX-N like superfamily
16158	E-set	Ig-like fold superfamily (E-set)	435178	6	4.4241034001446675e-06	N_BRCA1_IG	Ig-like domain from next to BRCA1 gene. Domain present between positions 365-485 in the human next to BRCA1 gene 1 protein Q14596 (NBR1_HUMAN) Distant homology and fold prediction analysis suggests this domain has an immunoglobulin like fold and is distantly homologous to domains involved in cell adhesion such as CARDB (PF07705). JCSG construct was crystalized confirming the domain boundaries	98	CL0159	Ig-like domain from next to BRCA1 gene	Ig-like fold superfamily (E-set)
17866	AAA_lid	AAA+ ATPase lid domain superfamily	436101	6	4.4241034001446675e-06	AAA_lid_6	AAA lid domain. This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.	60	CL0671	AAA lid domain	AAA+ ATPase lid domain superfamily
05746	DALR	DALR superfamily	399042	6	4.4241034001446675e-06	DALR_1	DALR anticodon binding domain. This all alpha helical domain is the anticodon binding domain in Arginyl and glycyl tRNA synthetase. This domain is known as the DALR domain after characteristic conserved amino acids.	117	CL0258	DALR anticodon binding domain	DALR superfamily
20038	HTH	Helix-turn-helix clan	437870	6	4.4241034001446675e-06	HTH_59	Helix-turn-helix domain. This family of proteins is functionally uncharacterized. This family of proteins is found in bacteria. Proteins in this family are typically between 63 and 82 amino acids in length. This domain is a helix-turn-helix suggesting it is likely a DNA-binding transcriptional regulator.	66	CL0123	Helix-turn-helix domain	Helix-turn-helix clan
13665			433390	6	4.4241034001446675e-06	DUF4150	Domain of unknown function (DUF4150). 	108		Toxin PAAR-like domain	Toxin PAAR-like domain
12005			432256	6	4.4241034001446675e-06	DUF3499	Protein of unknown function (DUF3499). This family of proteins is functionally uncharacterized. This protein is found in bacteria. Proteins in this family are typically between 125 to 163 amino acids in length.	119		Protein of unknown function (DUF3499)	Domain of unknown function
09707	Cas2	Cas2 endoribonuclease superfamily	430765	6	4.4241034001446675e-06	Cas_Cas2CT1978	CRISPR-associated protein (Cas_Cas2CT1978). This entry represents a minor branch of the Cas2 family of CRISPR-associated protein which are found in IPR003799. Cas proteins are found adjacent to a characteristic short, palindromic repeat cluster termed CRISPR, a probable mobile DNA element.	86	CL0728	CRISPR-associated protein (Cas_Cas2CT1978)	Cas2 endoribonuclease superfamily
