"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Ramlibacter"	"City"	"ShangHai"	"CityShangHai"	-1.43051992453332	0.00758344118238435	0.292720660217624	1.18481480332333e-05	0.0030403247712621	1.18481480332333e-05	0.00177251332563845	NA	"abundance"	58	58
"g__DP.6"	"City"	"ShangHai"	"CityShangHai"	1.23457629976831	0.00758344118238435	0.250623634744542	1.2920117158588e-05	0.0032739576879862	1.2920117158588e-05	0.00190841578637422	NA	"abundance"	58	58
"g__CAIXRL01"	"City"	"ShangHai"	"CityShangHai"	1.4172994731745	0.00758344118238435	0.288246275244581	1.39374929674085e-05	0.00348815873376921	1.39374929674085e-05	0.00203295756795863	NA	"abundance"	58	56
"g__JALHOE01"	"City"	"ShangHai"	"CityShangHai"	-1.18743662220385	0.00758344118238435	0.241337353491655	1.58490275432577e-05	0.00391818885801121	3.16978038948413e-05	0.0040204529744446	NA	"abundance"	58	50
"g__PALSA.1004"	"City"	"ShangHai"	"CityShangHai"	-0.886747047859964	0.00758344118238435	0.184889444900392	1.72451200892709e-05	0.00416182231487738	1.72451200892709e-05	0.00245406471124027	NA	"abundance"	58	58
"g__Rhizomicrobium"	"City"	"ShangHai"	"CityShangHai"	-0.912299544980291	0.00758344118238435	0.190109369266181	1.71256683172416e-05	0.00416182231487738	1.71256683172416e-05	0.00245406471124027	NA	"abundance"	58	58
"g__WS.3"	"City"	"ShangHai"	"CityShangHai"	1.00567754114259	0.00758344118238435	0.205158665339645	1.87008318661697e-05	0.00446003839518814	3.74013140112268e-05	0.00459406245470532	NA	"abundance"	58	53
"g__QHVT01"	"City"	"ShangHai"	"CityShangHai"	-1.76146192968557	0.00758344118238435	0.372544970878723	1.98883550004414e-05	0.00463421531688446	1.98883550004414e-05	0.00276282398214465	NA	"abundance"	58	58
"g__Telluria"	"City"	"ShangHai"	"CityShangHai"	-2.22964102532206	0.00758344118238435	0.46401304361818	1.96759847717054e-05	0.00463421531688446	1.96759847717054e-05	0.00276282398214465	NA	"abundance"	58	52
"g__Gp7.AA6"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	-0.523193473315344	-0.0121146753971243	0.10742849290725	2.05103290653597e-05	0.00467174596419069	4.10202374571209e-05	0.00493469227718705	NA	"abundance"	58	57
"g__JACPPC01"	"City"	"ShangHai"	"CityShangHai"	-0.94790712106715	0.00758344118238435	0.199431178599818	2.04852129155331e-05	0.00467174596419069	2.04852129155331e-05	0.00281225822954536	NA	"abundance"	58	57
"g__JACDCH01"	"Electric.conductivity"	"Electric.conductivity"	"Electric.conductivity"	0.465864217415257	-0.0121146753971243	0.100809748823044	2.16846151369632e-05	0.00488433908951686	2.16846151369632e-05	0.00294229969806074	NA	"abundance"	58	57
"g__UBA9160"	"City"	"ShangHai"	"CityShangHai"	1.27009546340419	0.00758344118238435	0.250251114213508	2.28024112818304e-05	0.00507967562093698	4.56043026137005e-05	0.00532156607199271	NA	"abundance"	58	39
