taxonomy	cpsnj01	cpsnj02	cpsnj03	cpsnj04	cpsnj08	cpsnj09	cpsnj10	cpsnj11	cpsnj13	cpsnj14	cpsnj15	cpsnj16	cpsnj19	cpsnj20	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Actinomycetota	19.94	8.77	8.04	6.74	12.03	6.05	7.28	8.37	5.06	3.99	7.74	6.73	13.18	10.83	2.84	5.62	5.66	3.88	14.93	8.79	5.38	4.09	2.85	4.08	9.45	5.08	5.54	10.62	5.94	27.05	8.4	12.79	9.79	21.88	6.79	11.88	9.08	4.77	4.55	11.39	14.05	9.65	7.24	17.3	23.03	15.64	14.83	10.83	7.59	11.38	12.02	11.78	6.58	7.17	6.1	10.25	13.58	11.87
Root; d__Bacteria; p__Aquificota																					0.01	0.0								0.0									0.01		0.01																	
Root; d__Bacteria; p__Armatimonadota	0.21	0.49	0.29	0.39	0.22	0.17	0.14	0.15	0.17	0.15	0.31	0.17	0.39	0.39	0.12	0.13	0.17	0.14	0.15	0.18	0.21	0.18	0.1	0.27	0.15	0.29	0.33	0.2	0.28	0.29	0.19	0.27	0.32	0.28	0.96	0.2	0.29	0.12	0.17	0.2	0.28	0.17	0.15	0.26	0.39	0.59	0.35	0.35	0.2	0.18	0.28	0.21	0.1	0.15	0.25	0.2	0.29	0.29
Root; d__Bacteria; p__Bacillota	0.1	0.08	0.06	0.05	0.05	0.04	0.05	0.04	0.05	0.04	0.05	0.04	0.06	0.05	0.06	0.06	0.06	0.05	0.05	0.06	0.06	0.07	0.05	0.06	0.07	0.07	0.04	0.06	0.06	0.08	0.05	0.07	0.04	0.05	0.06	0.09	0.04	0.06	0.08	0.04	0.06	0.05	0.07	0.06	0.04	0.06	0.05	0.08	0.03	0.04	0.06	0.04	0.06	0.03	0.05	0.04	0.07	0.04
Root; d__Bacteria; p__Bacillota_A	0.12	0.18	0.15	0.16	0.16	0.19	0.15	0.13	0.14	0.17	0.21	0.12	0.18	0.18	0.21	0.21	0.19	0.21	0.16	0.18	0.23	0.19	0.17	0.18	0.19	0.23	0.2	0.18	0.16	0.14	0.19	0.17	0.25	0.12	0.37	0.2	0.16	0.23	0.23	0.16	0.17	0.21	0.22	0.16	0.1	0.15	0.14	0.15	0.13	0.11	0.13	0.15	0.15	0.13	0.18	0.09	0.15	0.11
Root; d__Bacteria; p__Bacillota_B	0.02	0.04	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.04	0.02	0.05	0.03	0.06	0.04	0.04	0.06	0.02	0.05	0.05	0.08	0.04	0.04	0.05	0.04	0.04	0.04	0.02	0.03	0.05	0.06	0.04	0.03	0.05	0.04	0.05	0.06	0.06	0.03	0.04	0.04	0.04	0.04	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.01	0.02	0.03	0.03	0.02	0.03	0.02
Root; d__Bacteria; p__Bacillota_C		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.02		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01		0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01		0.01	0.01		0.01		0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01		0.01			0.01
Root; d__Bacteria; p__Bacillota_D		0.01		0.01	0.0		0.01			0.01		0.01	0.01	0.01	0.01			0.0	0.0	0.01	0.01	0.01	0.01	0.0		0.02		0.01			0.01				0.0		0.01	0.01	0.01		0.01	0.01	0.01	0.0											0.0		0.01	
Root; d__Bacteria; p__Bacillota_E	0.01	0.03	0.02	0.03	0.02	0.02	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.04	0.04	0.02	0.04	0.06	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.05	0.03	0.02	0.01	0.03	0.04	0.02	0.03	0.04	0.04	0.02	0.03	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.02	0.03	0.02
Root; d__Bacteria; p__Bacillota_F																																							0.01																			
