BGC_region,Start,End,Length
c00051_SRR1167...region002,105811,167594,61783
c00158_SRR5916...region001,4074,65857,61783
c00047_SRR7096...region001,0,61754,61754
c00029_R23rbin...region001,41423,103146,61723
c00364_SRR1183...region001,0,61693,61693
c00328_S386bin...region001,0,61665,61665
c00097_SRR7141...region001,0,61608,61608
c00035_SRR5579...region001,228965,290569,61604
c00313_SRR6185...region001,0,61504,61504
c00297_S261bin...region001,1495,62975,61480
c00125_S277bin...region002,95286,156758,61472
c00261_SRR1217...region001,10725,72051,61326
c00115_SRR3990...region002,123904,185218,61314
c00382_SRR7011...region001,0,61172,61172
c00074_SRR1099...region001,17119,78260,61141
c00214_SRR6476...region001,35371,96504,61133
c00053_SRR6476...region001,2846,63927,61081
c00016_SRR1277...region001,98995,160045,61050
c00019_S193bin...region001,0,61024,61024
c00208_SRR6478...region001,0,61020,61020
c00065_SRR1171...region002,34679,95660,60981
c00111_S400bin...region002,58916,119840,60924
c01047_zpcx_11...region001,0,60923,60923
c00086_SRR1095...region001,6712,67569,60857
c00091_S335bin...region001,13364,74195,60831
c00019_SRR1276...region001,96276,157050,60774
c01497_SRR8931...region001,0,60774,60774
c00007_SRR6474...region001,89082,149853,60771
c00129_SRR1234...region002,147572,208343,60771
c00203_SRR1144...region001,2785,63547,60762
c00003_SRR7141...region001,667638,728394,60756
c00019_SRR7629...region001,244576,305332,60756
c00020_SRR1320...region001,48398,109154,60756
c00113_SRR1586...region001,4712,65456,60744
c00187_SRR1586...region001,13206,73950,60744
c00056_SRR5877...region001,74727,135468,60741
c00025_SRR1234...region001,586027,646762,60735
c00171_S7rebin...region001,0,60699,60699
c00409_S284bin...region001,0,60689,60689
c00009_SRR1276...region001,469434,530121,60687
c00027_SRR1049...region001,41851,102538,60687
c00082_S264bin...region001,0,60668,60668
c00187_SRR1099...region001,0,60614,60614
c00063_SRR5195...region001,39755,100309,60554
c00153_SRR1099...region001,48960,109514,60554
c00480_SRR7003...region001,25321,85842,60521
c00613_SRR3401...region001,0,60420,60420
c00195_SRR8439...region001,0,60399,60399
c00028_SRR6958...region001,0,60394,60394
c00080_SRR1167...region001,14669,75041,60372
c00117_SRR8500...region001,0,60352,60352
c00199_SRR1174...region001,8036,68355,60319
c00066_SRR9009...region001,17790,77941,60151
c00102_S32rbin...region001,0,60104,60104
c00451_zpcx_11...region001,48202,108260,60058
c00011_S313bin...region003,173806,233837,60031
c00077_SRR9694...region001,16601,76627,60026
c00297_SRR1105...region001,0,59899,59899
c00168_SRR1095...region001,0,59807,59807
c00224_SRR2954...region001,0,59779,59779
c00083_SRR5437...region001,0,59725,59725
c00061_SRR6476...region001,3777,63460,59683
c00017_S75rbin...region001,45524,105189,59665
c00104_SRR6202...region001,165055,224665,59610
c00057_S276bin...region001,16359,75840,59481
c00119_SRR7091...region001,23120,82584,59464
c00053_S313bin...region001,21700,81147,59447
c00034_SRR3402...region001,0,59443,59443
c00011_S135bin...region001,25130,84522,59392
c00091_R97rbin...region001,7492,66837,59345
c00220_SRR7003...region001,0,59331,59331
c00200_SRR6184...region001,0,59308,59308
c00114_SRR1234...region001,0,59302,59302
c00100_SRR1095...region001,10550,69839,59289
c00064_SRR5582...region001,0,59277,59277
c00669_SRR5855...region001,0,59277,59277
c00073_S354bin...region001,5980,65256,59276
c00073_SRR8676...region001,5827,65055,59228
c00010_SRR5855...region002,464099,523295,59196
c00026_SRR3985...region001,0,59183,59183
c00034_SRR6266...region001,398973,458150,59177
c00019_SRR1161...region001,31565,90729,59164
c00033_SRR7882...region001,30821,89985,59164
c00015_SRR9694...region001,61335,120452,59117
c00051_SRR9009...region001,24090,83203,59113
c00010_SRR6476...region001,109357,168468,59111
c00002_SRR1146...region001,0,59107,59107
c00035_SRR5855...region001,0,59053,59053
c00141_SRR7976...region001,29271,87917,58646
c00017_SRR1171...region001,1868,60511,58643
c00130_SRR5882...region001,0,58585,58585
c00126_SRR1237...region001,1,58550,58549
c00576_SRR3452...region001,0,58483,58483
c00021_S389bin...region001,0,58443,58443
c00002_ERR1051...region001,6829,65215,58386
c00011_SRR1183...region001,0,58374,58374
c00017_SRR5195...region001,34865,93073,58208
c00078_SRR1267...region001,0,58183,58183
c00013_SRR8931...region001,173015,231141,58126
c00287_SRR8879...region001,15160,73280,58120
c00081_S276bin...region001,10491,68600,58109
c00042_S25rbin...region001,85326,143432,58106
c00012_SRR1049...region001,108636,166706,58070
c00122_SRR6266...region001,0,58027,58027
c00116_SRR7976...region001,54962,112972,58010
c00543_SRR1228...region001,0,58001,58001
c00024_SRR7976...region001,101964,159833,57869
c00197_SRR1174...region001,0,57860,57860
c00020_SRR6185...region002,279409,337252,57843
c00060_SRR8554...region001,0,57719,57719
c00149_SRR5195...region001,0,57716,57716
c00320_S331bin...region001,5113,62792,57679
c00250_SRR7967...region001,120,57778,57658
c00138_SRR5582...region001,0,57614,57614
c00174_S326bin...region001,108731,166314,57583
c00363_S379bin...region001,13207,70687,57480
c00051_SRR7100...region001,27171,84597,57426
c00079_SRR7094...region001,7934,65352,57418
c00206_SRR9009...region001,2382,59767,57385
c00001_SRR1036...region001,84866,142225,57359
c00174_SRR1217...region001,18553,75894,57341
c00141_S264bin...region001,3498,60822,57324
c00121_SRR9009...region001,0,57300,57300
c00097_SRR5855...region001,0,57274,57274
c00072_SRR1036...region001,0,57252,57252
c00081_SRR7882...region001,0,57248,57248
c00105_SRR1171...region002,176383,233478,57095
c00795_SRR8558...region001,0,57095,57095
c00172_SRR1161...region001,9907,66969,57062
c00117_SRR1096...region001,70277,127232,56955
c00297_SRR1099...region001,14389,71334,56945
c00008_SRR6266...region001,0,56941,56941
c00014_SRR5882...region001,0,56852,56852
c00153_SRR6476...region001,20656,77476,56820
c00092_S75rbin...region001,25941,82760,56819
c00009_SRR1265...region001,0,56817,56817
c00157_SRR5582...region001,0,56807,56807
c00237_SRR1183...region002,136779,193568,56789
c00026_S62rbin...region002,141314,197980,56666
c00103_SRR3402...region002,198365,255027,56662
c00100_SRR3402...region001,0,56555,56555
c00496_SRR5582...region001,0,56495,56495
c00237_SRR1167...region001,0,56459,56459
c00151_ERR4661...region001,0,56431,56431
c00059_SRR6193...region001,7807,64175,56368
c00124_SRR6478...region001,0,56282,56282
c00038_SRR1206...region001,29847,86074,56227
c00217_SRR1234...region001,0,56212,56212
c00074_S171bin...region002,11506,67711,56205
c00117_SRR1586...region001,0,56141,56141
c00027_SRR8881...region001,49017,105155,56138
c00015_ERR4661...region001,1777,57892,56115
c00079_SRR1237...region001,0,56099,56099
c00347_S400bin...region001,0,56097,56097
c00029_S326bin...region001,7059,63092,56033
c00342_SRR7975...region001,0,56031,56031
c00002_SRR1217...region002,15614,71633,56019
c00032_SRR8500...region001,4598,60613,56015
c00027_SRR5855...region002,76066,132044,55978
c00012_SRR1183...region002,292560,348520,55960
c00039_SRR6184...region001,0,55918,55918
c00020_SRR6195...region001,26937,82839,55902
c00095_S62rbin...region001,5138,61011,55873
c00303_SRR1099...region001,0,55873,55873
c00215_SRR1171...region001,0,55867,55867
c00058_ERR4661...region001,0,55833,55833
c00061_S7rebin...region001,0,55804,55804
c00120_SRR1184...region001,0,55791,55791
c00228_SRR1241...region001,27582,83272,55690
c00048_SRR1265...region001,89193,144876,55683
c00073_S326bin...region003,198340,254004,55664
c00019_SRR1265...region001,41049,96699,55650
c00214_SRR5918...region001,8096,63720,55624
c00046_S193bin...region001,90997,146577,55580
c00785_SRR7497...region001,1,55579,55578
c00060_SRR8439...region001,0,55536,55536
c00091_S315bin...region001,0,55529,55529
c00039_S344bin...region001,19399,74882,55483
c00152_SRR1265...region001,46217,101674,55457
c00064_SRR7967...region001,25725,81135,55410
c00308_SRR6185...region001,0,55386,55386
c00106_SRR1237...region002,73111,128451,55340
c00054_S264bin...region001,18408,73715,55307
c00013_Cjian1_...region001,0,55229,55229
c00044_S406bin...region001,67977,123190,55213
c00102_SRR5439...region001,0,55210,55210
c00019_S143bin...region001,0,55206,55206
c00237_SRR5195...region001,0,55197,55197
c00063_S143bin...region001,34979,90015,55036
c00275_SRR1037...region001,0,55005,55005
c00058_SRR6185...region003,290142,345109,54967
c00094_S313bin...region001,29371,84260,54889
c00301_SRR5823...region001,3968,58857,54889
c00199_SRR1247...region001,8338,63220,54882
c00076_SRR3984...region001,20569,75450,54881
c00010_SRR3989...region001,147558,202420,54862
c00002_SRR1157...region001,4141,58994,54853
c00124_SRR1183...region002,71701,126552,54851
c00120_SRR1235...region001,0,54841,54841
c00172_S118bin...region001,752,55582,54830
c00233_SRR5947...region001,0,54815,54815
c00887_zpcx_11...region001,0,54752,54752
c00235_SRR1171...region001,22106,76791,54685
c00162_SRR3402...region004,119970,174616,54646
c00108_SRR5582...region001,0,54643,54643
c00224_SRR6478...region001,0,54617,54617
c00257_SRR6476...region001,33756,88332,54576
c00122_SRR1265...region001,0,54574,54574
c00047_SRR1295...region001,704,55216,54512
c00101_SRR1167...region002,106620,161085,54465
c00112_S191bin...region001,8630,63017,54387
c00191_SRR6266...region001,0,54366,54366
c00141_S276bin...region001,23010,77327,54317
c00046_SRR3747...region001,300821,355090,54269
c00128_SRR6474...region001,30523,84786,54263
c00073_SRR1217...region001,80465,134709,54244
c00040_SRR9648...region001,0,54110,54110
c00007_SRR6478...region001,1907,55967,54060
