sample	mean	tmean10	median
SRR25158311	0.9713465600445927	0.9713465600445927	0.9713465600445927
SRR25158498	0.9713791879221878	0.9713791879221878	0.9713791879221878
SRR25158452	0.9713562397301511	0.9713562397301511	0.9713562397301511
SRR25158518	0.9713713077214294	0.9713713077214294	0.9713713077214294
SRR25158233	0.9712821378922598	0.9712821378922598	0.9712821378922598
SRR25158295	0.9713636860845838	0.9713636860845838	0.9713636860845838
SRR25158453	0.9713792187414136	0.9713792187414136	0.9713792187414136
SRR25158416	0.9713689628649388	0.9713689628649388	0.9713689628649388
SRR25158460	0.9713725558874058	0.9713725558874058	0.9713725558874058
SRR25158389	0.9714011716601045	0.9714011716601045	0.9714011716601045
SRR25158307	0.9713197633221613	0.9713197633221613	0.9713197633221613
SRR25158361	0.9713785060038674	0.9713785060038674	0.9713785060038674
SRR25158195	0.971351688903611	0.971351688903611	0.971351688903611
SRR25158352	0.9713449882295976	0.9713449882295976	0.9713449882295976
SRR25158451	0.9713532467924978	0.9713532467924978	0.9713532467924978
SRR25158200	0.9713565620555494	0.9713565620555494	0.9713565620555494
SRR25158325	0.9713628001054201	0.9713628001054201	0.9713628001054201
SRR25158536	0.9713236422716255	0.9713236422716255	0.9713236422716255
SRR25158488	0.9713591807199223	0.9713591807199223	0.9713591807199223
SRR25158474	0.971403836130504	0.971403836130504	0.971403836130504
SRR25158333	0.9713285873026921	0.9713285873026921	0.9713285873026921
SRR25158365	0.9713752302145304	0.9713752302145304	0.9713752302145304
SRR25158242	0.9713889424939487	0.9713889424939487	0.9713889424939487
SRR25158388	0.9713677462188367	0.9713677462188367	0.9713677462188367
SRR25158228	0.9713844626701857	0.9713844626701857	0.9713844626701857
SRR25158263	0.9713848780451935	0.9713848780451935	0.9713848780451935
SRR25158317	0.9713648139658431	0.9713648139658431	0.9713648139658431
SRR25158349	0.9712821467452176	0.9712821467452176	0.9712821467452176
SRR25158385	0.9713484742235496	0.9713484742235496	0.9713484742235496
SRR25158502	0.9713765570423191	0.9713765570423191	0.9713765570423191
SRR25158463	0.9713597330906145	0.9713597330906145	0.9713597330906145
SRR25158179	0.971385503104919	0.971385503104919	0.971385503104919
SRR25158223	0.9713775263407858	0.9713775263407858	0.9713775263407858
SRR25158284	0.9713568764865421	0.9713568764865421	0.9713568764865421
SRR25158355	0.9713514918036429	0.9713514918036429	0.9713514918036429
SRR25158216	0.9713630210537764	0.9713630210537764	0.9713630210537764
SRR25158239	0.9713765343795938	0.9713765343795938	0.9713765343795938
SRR25158465	0.9713671111212043	0.9713671111212043	0.9713671111212043
SRR25158315	0.9713064389707513	0.9713064389707513	0.9713064389707513
SRR25158276	0.9713272066155002	0.9713272066155002	0.9713272066155002
SRR25158508	0.9713592157976734	0.9713592157976734	0.9713592157976734
SRR25158194	0.9713555471684515	0.9713555471684515	0.9713555471684515
SRR25158434	0.9713695606453996	0.9713695606453996	0.9713695606453996
SRR25158271	0.9712950502663348	0.9712950502663348	0.9712950502663348
SRR25158392	0.9713564124042895	0.9713564124042895	0.9713564124042895
SRR25158350	0.9713600042674609	0.9713600042674609	0.9713600042674609
SRR25158440	0.9713685404593962	0.9713685404593962	0.9713685404593962
SRR25158471	0.9713358390189971	0.9713358390189971	0.9713358390189971
SRR25158535	0.9713768254781734	0.9713768254781734	0.9713768254781734
SRR25158217	0.9713592963036914	0.9713592963036914	0.9713592963036914
SRR25158490	0.971366593532096	0.971366593532096	0.971366593532096
SRR25158481	0.9713721923819737	0.9713721923819737	0.9713721923819737
SRR25158344	0.9713286877204154	0.9713286877204154	0.9713286877204154
SRR25158404	0.9713905978360879	0.9713905978360879	0.9713905978360879
SRR25158399	0.971381594882983	0.971381594882983	0.971381594882983
SRR25158403	0.9713427594318464	0.9713427594318464	0.9713427594318464
SRR25158251	0.9712999740727074	0.9712999740727074	0.9712999740727074
SRR25158347	0.9713830222857571	0.9713830222857571	0.9713830222857571
SRR25158401	0.9713875697310442	0.9713875697310442	0.9713875697310442
SRR25158487	0.9713730908747824	0.9713730908747824	0.9713730908747824
SRR25158504	0.9713484870541391	0.9713484870541391	0.9713484870541391
SRR25158280	0.971368083818667	0.971368083818667	0.971368083818667
SRR25158197	0.9713866650537655	0.9713866650537655	0.9713866650537655
SRR25158530	0.971384762994399	0.971384762994399	0.971384762994399
SRR25158316	0.9713315423873223	0.9713315423873223	0.9713315423873223
SRR25158462	0.9713714947720141	0.9713714947720141	0.9713714947720141
SRR25158290	0.9713851375487659	0.9713851375487659	0.9713851375487659
SRR25158529	0.9713758218722462	0.9713758218722462	0.9713758218722462
SRR25158339	0.9713342989799323	0.9713342989799323	0.9713342989799323
SRR25158193	0.9713770879000659	0.9713770879000659	0.9713770879000659
SRR25158517	0.9713506248279317	0.9713506248279317	0.9713506248279317
SRR25158230	0.9713231430786496	0.9713231430786496	0.9713231430786496
SRR25158450	0.9713525346764142	0.9713525346764142	0.9713525346764142
SRR25158259	0.9713198409232052	0.9713198409232052	0.9713198409232052
SRR25158386	0.9713993734043334	0.9713993734043334	0.9713993734043334
SRR25158218	0.9713714421159678	0.9713714421159678	0.9713714421159678
SRR25158414	0.9713864395088192	0.9713864395088192	0.9713864395088192
SRR25158528	0.9713866364217678	0.9713866364217678	0.9713866364217678
SRR25158255	0.9712866407508026	0.9712866407508026	0.9712866407508026
SRR25158496	0.9713837962022632	0.9713837962022632	0.9713837962022632
SRR25158486	0.9713833464471093	0.9713833464471093	0.9713833464471093
SRR25158371	0.9713667872900007	0.9713667872900007	0.9713667872900007
SRR25158499	0.9712673916880648	0.9712673916880648	0.9712673916880648
SRR25158396	0.9713399854446146	0.9713399854446146	0.9713399854446146
SRR25158181	0.9713781665917627	0.9713781665917627	0.9713781665917627
SRR25158245	0.9713820627540793	0.9713820627540793	0.9713820627540793
SRR25158501	0.9713568134788579	0.9713568134788579	0.9713568134788579
SRR25158222	0.9713920655292093	0.9713920655292093	0.9713920655292093
SRR25158431	0.9713492198345068	0.9713492198345068	0.9713492198345068
SRR25158419	0.9713419489520827	0.9713419489520827	0.9713419489520827
SRR25158340	0.9713415119116418	0.9713415119116418	0.9713415119116418
SRR25158482	0.9713898407649626	0.9713898407649626	0.9713898407649626
SRR25158366	0.9713656603533777	0.9713656603533777	0.9713656603533777
SRR25158225	0.9712895758219351	0.9712895758219351	0.9712895758219351
SRR25158515	0.9713433092061227	0.9713433092061227	0.9713433092061227
SRR25158231	0.9712718293907103	0.9712718293907103	0.9712718293907103
