sample,Shannon_index
SRR25158276,7.735906608488518
SRR25158188,7.2853410830759
SRR25158437,7.905935020159584
SRR25158299,6.212289394125639
SRR25158364,7.5564156175102015
SRR25158504,6.8631862798149355
SRR25158466,7.184792616979483
SRR25158451,7.5757717029110125
SRR25158480,7.55301524800833
SRR25158422,6.557495830929518
SRR25158463,7.249442733074085
SRR25158376,7.601568099439676
SRR25158355,7.402371860170113
SRR25158333,7.869758052057194
SRR25158412,6.502573051249922
SRR25158320,8.080971019762293
SRR25158520,7.870929988981311
SRR25158329,7.8328187954210255
SRR25158293,7.038701046354026
SRR25158472,7.503331349608275
SRR25158243,7.074583385164309
SRR25158365,7.861706302710327
SRR25158527,7.948696468508881
SRR25158234,7.744499184796753
SRR25158464,7.304452524725925
SRR25158413,7.4268426410081485
SRR25158287,7.762851637027049
SRR25158403,7.221490940282379
SRR25158259,7.244075332267545
SRR25158294,7.01486719801297
SRR25158330,7.751724203359924
SRR25158176,7.070993139642689
SRR25158345,7.833243831889414
SRR25158185,7.519548539221983
SRR25158434,7.453931532787219
SRR25158440,7.28317397610632
SRR25158242,7.126609637766374
SRR25158404,7.934567744173783
SRR25158471,6.72517522002358
SRR25158426,7.132671107860347
SRR25158469,8.023554609189894
SRR25158435,7.497297757925354
SRR25158275,7.773802737928132
SRR25158224,7.810424990179099
SRR25158386,6.581453233231568
SRR25158182,7.281356674507525
SRR25158475,7.582600414492653
SRR25158390,7.2213642740013
SRR25158180,7.570178904086856
SRR25158421,7.3009959537655815
SRR25158325,7.748773694169063
SRR25158208,7.840491550429993
SRR25158228,7.3858918999285015
SRR25158393,7.571762273335299
SRR25158251,7.404192370290269
SRR25158327,8.016400852605107
SRR25158441,7.837661277489127
SRR25158278,7.707497016118024
SRR25158419,7.380413642987479
SRR25158468,7.467170024526241
SRR25158192,7.371503464462209
SRR25158519,7.791371821611245
SRR25158516,7.7093225976047375
SRR25158429,7.162687069851421
SRR25158509,7.230027495862485
SRR25158232,8.05310632329226
SRR25158277,8.082522047185533
SRR25158438,7.5623454854478815
SRR25158363,7.704135351113382
SRR25158216,7.6366588230109205
SRR25158407,7.498165273192105
SRR25158353,7.585737362063021
SRR25158359,7.218784377630756
SRR25158455,7.395863419436577
SRR25158265,7.587762148058271
SRR25158448,7.531877021533348
SRR25158449,7.608831627248405
SRR25158479,7.583069203702384
SRR25158253,7.38762981057498
SRR25158230,7.8848014069924695
SRR25158497,7.66832231455018
SRR25158499,7.119176442350343
SRR25158279,7.765235725108228
SRR25158532,7.69639616175121
SRR25158252,7.423568323422005
SRR25158388,7.4510931977549495
SRR25158191,7.475475483386796
SRR25158303,7.229605370588004
SRR25158184,7.604797652066935
SRR25158324,7.488573548117816
SRR25158262,7.583720119068168
SRR25158271,7.7798451792576735
SRR25158335,7.833119261747598
SRR25158321,7.896139792554369
SRR25158336,7.707016262993707
SRR25158202,7.0844032562092005
SRR25158474,7.4969852557612455
SRR25158177,7.243661258222968
SRR25158370,7.184227381614113
SRR25158193,7.364535205529523
SRR25158454,7.3351919914397214
SRR25158360,6.9150780982800075
SRR25158214,7.810328159546784
SRR25158416,7.138985444421706
SRR25158380,7.488544330014948
SRR25158248,7.579372356349647
SRR25158241,7.073120773495905
SRR25158503,7.533839885915923
SRR25158284,7.426006566359053
SRR25158492,7.413768172238221
SRR25158183,7.3063279194974
SRR25158458,7.481538061798821
SRR25158379,6.880614646952984
SRR25158505,7.766578378326969
SRR25158476,7.809845706187676
SRR25158307,7.738811860071536
SRR25158502,7.309177363455657
SRR25158206,7.444454717882702
SRR25158343,7.09776764960485
SRR25158385,7.192292886082336
SRR25158285,7.621411369627653
SRR25158383,7.279683362056442
SRR25158423,7.388825104341086
SRR25158536,7.1367556543498285
SRR25158351,7.673239969338508
SRR25158332,7.763452905884318
SRR25158362,7.716914836217615
SRR25158315,7.894082557092025
SRR25158198,7.375221084959999
SRR25158179,7.159364950466809
SRR25158302,6.9248696919289365
SRR25158500,7.558017270587468
SRR25158348,7.559325248313816
SRR25158489,7.753440273841987
SRR25158334,7.884993260840195
SRR25158456,7.939045187180515
SRR25158195,7.586401073803131
SRR25158254,7.411256725595293
SRR25158424,7.803164687255718
SRR25158444,7.363727357430426
SRR25158244,7.032055449189085
SRR25158290,7.102994414710058
SRR25158420,7.411010331636486
SRR25158309,7.592115374149335
SRR25158486,7.486227920224062
SRR25158204,7.041405672513609
SRR25158249,7.5728546667242815
SRR25158323,7.554158453741336
SRR25158373,7.378818605543197
SRR25158491,7.591780104988851
SRR25158317,7.2765716098999125
SRR25158306,7.465017599495772
SRR25158311,7.7941401462405375
SRR25158478,7.292776145524914
SRR25158186,7.492874285833423
SRR25158270,7.665478875122013
SRR25158319,8.053316844657266
SRR25158354,7.947960892751518
SRR25158443,7.545523081884213
SRR25158196,7.682731899777484
SRR25158238,7.781611060366651
SRR25158400,7.835430131518315
SRR25158240,7.134859876200728
SRR25158445,7.396499808347549
SRR25158395,7.396030723810758
SRR25158461,7.323182667469277
SRR25158425,7.459231854786007
SRR25158280,7.821132422165028
SRR25158511,7.3477621240850715
SRR25158300,6.789662920078114
SRR25158462,7.4100310397814555
SRR25158473,7.361017508334241
SRR25158513,6.622023475090279
SRR25158432,7.560298931521977
SRR25158231,7.815759279081108
