sample,Simpson_index
SRR25158279,0.9979102959767088
SRR25158492,0.9970598472806436
SRR25158422,0.9920265963927438
SRR25158251,0.9968322627392948
SRR25158215,0.9973911091079951
SRR25158397,0.9979147122747445
SRR25158240,0.9966660087675805
SRR25158443,0.9976893079204552
SRR25158189,0.9971596776246593
SRR25158231,0.998420854535222
SRR25158354,0.9988032429976501
SRR25158235,0.9981772498286897
SRR25158192,0.9961752253069618
SRR25158530,0.9975764800626485
SRR25158437,0.9986357925594712
SRR25158393,0.9975947576809802
SRR25158404,0.9984456778527723
SRR25158326,0.9986954843023873
SRR25158332,0.9983370587569413
SRR25158450,0.9913118293273084
SRR25158425,0.9976999924498057
SRR25158197,0.9955290883704269
SRR25158402,0.9946240182181809
SRR25158484,0.9978592785968123
SRR25158502,0.9971002051493009
SRR25158224,0.9980569779178409
SRR25158295,0.9983228660534955
SRR25158364,0.9973574998146126
SRR25158183,0.9967917103277713
SRR25158182,0.996828738797927
SRR25158485,0.9975680170065456
SRR25158283,0.9976455780488142
SRR25158314,0.9982691838530953
SRR25158180,0.997719344273884
SRR25158273,0.9974011856859085
SRR25158420,0.9976424082650258
SRR25158350,0.9974705960377619
SRR25158309,0.9977327667381545
SRR25158254,0.9968012841049992
SRR25158458,0.9975266702542014
SRR25158348,0.9979510824178993
SRR25158394,0.9971391953021398
SRR25158244,0.9962681933318325
SRR25158468,0.9970998448062497
SRR25158213,0.9979119212711233
SRR25158337,0.9975341476883175
SRR25158214,0.9981887903815255
SRR25158286,0.9975475487058995
SRR25158385,0.9966306740104891
SRR25158324,0.9972136271768685
SRR25158497,0.9981920865115539
SRR25158238,0.9981223966084972
SRR25158193,0.9962146201047808
SRR25158312,0.9946197643742891
SRR25158303,0.9971583955840104
SRR25158310,0.9976833272829538
SRR25158493,0.9985554483045791
SRR25158479,0.9977312740952646
SRR25158414,0.9983339652823238
SRR25158353,0.9980261836233093
SRR25158219,0.9980048111607619
SRR25158211,0.9981480771651031
SRR25158344,0.9975598410937161
SRR25158435,0.9977112804471795
SRR25158487,0.9967607841002197
SRR25158341,0.9982602804785391
SRR25158233,0.9984166457660965
SRR25158263,0.9943581234514298
SRR25158203,0.997868366390545
SRR25158537,0.996722834860067
SRR25158329,0.9983997351504111
SRR25158266,0.9982838649843745
SRR25158408,0.9964024017355914
SRR25158190,0.9977220308899878
SRR25158338,0.9983420159862579
SRR25158396,0.9981838724712346
SRR25158436,0.997186929847393
SRR25158239,0.9963677839556357
SRR25158472,0.9973602784231026
SRR25158438,0.9975502534261722
SRR25158409,0.9975941999925861
SRR25158463,0.9965883684307415
SRR25158227,0.9983810362320961
SRR25158216,0.9976103052102271
SRR25158195,0.9977426305236672
SRR25158533,0.9947402646862017
SRR25158389,0.9981835255697521
SRR25158535,0.9978761052884989
SRR25158232,0.9986512770627249
SRR25158361,0.9982353419394114
SRR25158363,0.9978708959222581
SRR25158246,0.9975034073777174
SRR25158501,0.9984447163601418
SRR25158340,0.9981659434164725
SRR25158296,0.9942893338998934
SRR25158343,0.9960723790291767
SRR25158181,0.9967440133358132
SRR25158342,0.9983178153830234
SRR25158395,0.997162180281976
SRR25158456,0.998224255925143
SRR25158486,0.9972450385390045
SRR25158184,0.9977352241145231
SRR25158346,0.997386304028514
SRR25158474,0.9972422984854937
SRR25158496,0.9979990488251641
SRR25158387,0.9969917411977552
SRR25158508,0.9970123583768973
SRR25158504,0.9950609085821411
SRR25158460,0.9972448722880517
SRR25158482,0.9968620822645899
SRR25158247,0.9984425357895457
SRR25158349,0.9985281773172018
SRR25158410,0.9956040796282885
SRR25158390,0.9970651873969609
SRR25158378,0.9977808923636624
SRR25158383,0.9960986972365445
SRR25158430,0.997198698936554
SRR25158176,0.9960873940795948
SRR25158434,0.9973968816176608
SRR25158261,0.9974227849128459
SRR25158405,0.9975971328150122
SRR25158271,0.9980817575789905
SRR25158523,0.9977258725864512
SRR25158305,0.9976800625795579
SRR25158495,0.9975632389791245
SRR25158367,0.9972662587885344
SRR25158441,0.9981361526335514
SRR25158478,0.9957248516019133
SRR25158278,0.9980285620073246
SRR25158302,0.9953049683329723
SRR25158470,0.9975695074687599
SRR25158351,0.9982722721462323
SRR25158274,0.998227982981277
SRR25158373,0.9968288966391944
SRR25158406,0.9979082114305814
SRR25158415,0.9968782451501946
SRR25158462,0.9972485326889966
SRR25158196,0.9982230385551671
SRR25158307,0.9982916345157644
SRR25158432,0.9980259080849022
SRR25158291,0.9964004111414285
SRR25158401,0.9982191121808128
SRR25158178,0.9978725511007016
SRR25158289,0.9964791229876933
SRR25158257,0.9966320748465688
SRR25158300,0.994944968783087
SRR25158521,0.9981424934151379
SRR25158284,0.9975821194083708
SRR25158427,0.9979980755507637
SRR25158327,0.9987213045817565
SRR25158426,0.9959514097309848
SRR25158249,0.9978861477361392
SRR25158522,0.9980359825857245
SRR25158248,0.9979329406925138
SRR25158345,0.9982561923520638
SRR25158223,0.9978716174006952
SRR25158270,0.9981792585660328
SRR25158461,0.9973960698132289
SRR25158358,0.9956780067015031
SRR25158413,0.9974972149324572
SRR25158297,0.9941486504724031
SRR25158264,0.9982985366030406
SRR25158277,0.9987049885478718
SRR25158498,0.9960650117269862
SRR25158225,0.9983917853756512
SRR25158473,0.997372501576369
SRR25158306,0.9969122618945657
SRR25158321,0.9984472719298035
SRR25158398,0.997265473775766
SRR25158177,0.9967497951392283
SRR25158515,0.9973777702926627
SRR25158253,0.9967747132018302
SRR25158510,0.9977221801951123
SRR25158375,0.9978681688541714
SRR25158359,0.996536313319976
SRR25158519,0.9982717287806165
SRR25158376,0.9978572082206203
SRR25158399,0.9961126328875192
SRR25158419,0.9974897546670279
SRR25158328,0.9984729541866856
SRR25158503,0.9974181515687691
SRR25158336,0.9982636123170913
SRR25158228,0.9968997021841227
SRR25158532,0.9980659332295917
SRR25158185,0.99778973672435
SRR25158221,0.9976964410025104
SRR25158294,0.9958110222958466
SRR25158360,0.9950032653172378
SRR25158386,0.9935280480145167
SRR25158234,0.9979054776959356
SRR25158411,0.9978926698593756
SRR25158330,0.9980922951992276
SRR25158242,0.996428263674819
SRR25158275,0.9981594271215506
SRR25158528,0.997973047253301
SRR25158322,0.997679882470986
SRR25158368,0.9960709426472182
SRR25158381,0.9964034907708451
SRR25158362,0.9979252443414117
SRR25158311,0.9984403968917591
SRR25158333,0.998396075259726
SRR25158452,0.9959134284263494
SRR25158241,0.9936442308785788
SRR25158424,0.9977085021344473
SRR25158494,0.9776075932136838
SRR25158499,0.9967306584071846
SRR25158500,0.9976774425397911
SRR25158265,0.9979740715531005
SRR25158518,0.9978222073142088
SRR25158226,0.9985196972103458
SRR25158194,0.9966588925509463
SRR25158207,0.9984005131061694
SRR25158252,0.9972390559696112
SRR25158445,0.9970951074667472
SRR25158475,0.9975893351930157
SRR25158534,0.9975136359756138
SRR25158526,0.9953638476920185
SRR25158287,0.9980636015099018
SRR25158199,0.9975392704177721
SRR25158464,0.9970090767451311
SRR25158204,0.9966817099010586
SRR25158317,0.9971419271559971
SRR25158372,0.996150322897609
SRR25158229,0.9982407391247066
SRR25158466,0.996978673363537
