sample	Chao1	Simpson	Shannon
SRR25158338	4516.019031894252	0.9713488928169689	7.312006586986414
SRR25158404	5198.349979811795	0.9713905978360879	7.539923895553605
SRR25158487	3538.302949553171	0.9713730908747824	7.2033569255935355
SRR25158476	4142.800307235244	0.971368968293718	7.25392768946005
SRR25158449	3677.17413487293	0.9713516090698244	7.244706184826218
SRR25158382	4922.410183172659	0.9713830126598589	7.4565124438492605
SRR25158347	2978.348078004255	0.9713830222857571	6.712544597207156
SRR25158367	4562.181466900545	0.9713574003071089	7.394204354970644
SRR25158208	6108.745382360478	0.9713505663119126	7.569264838769561
SRR25158481	4757.407005775184	0.9713721923819737	7.432463752579614
SRR25158176	2856.418785754039	0.9713649226513998	6.924121088875624
SRR25158534	5145.5424832530225	0.9713784306282723	7.493604759381167
SRR25158243	4815.0924862960055	0.971369978062264	7.442132345091235
SRR25158195	3601.6736273757783	0.971351688903611	7.241849376178201
SRR25158507	3465.895121362541	0.9713493977465355	7.125019056946031
SRR25158263	2277.2487763534255	0.9713848780451935	6.815525150491638
SRR25158495	3661.4065269615385	0.9713785113834259	7.191035456808835
SRR25158312	2035.4501576360635	0.9712196295654238	6.031133836831498
SRR25158340	2584.2954416451134	0.9713415119116418	6.572946990854697
SRR25158430	3823.984286959807	0.9713647448253343	7.284478460546444
SRR25158511	4183.528584189159	0.9713773209640405	7.306685688727292
SRR25158413	4443.731033992833	0.971376826108417	7.166834740828331
SRR25158245	4384.521780940809	0.9713820627540793	7.295802732268228
SRR25158383	4556.299816065426	0.9713887700003556	7.387360842393027
SRR25158429	3993.88362416756	0.9713870647707612	7.10416978080481
SRR25158491	4326.427383115365	0.971358557232733	7.357117463085836
SRR25158415	4461.012542505575	0.9713376451414678	7.282564197268163
SRR25158454	3483.6673557471745	0.9713683820169233	7.109147063129875
SRR25158229	4369.809332600758	0.9712883309446876	7.268720799692389
SRR25158518	5155.552930014038	0.9713713077214294	7.415154183127815
SRR25158378	3840.9376424762995	0.9713433095546173	7.227258963004489
SRR25158308	3576.694521911168	0.971331226969048	7.009713327630554
SRR25158396	3324.5259774946417	0.9713399854446146	7.108722454279099
SRR25158281	6409.497600198895	0.9713464108509681	7.737185052145448
SRR25158366	5238.185083067065	0.9713656603533777	7.4324314131505425
SRR25158355	2416.583163137463	0.9713514918036429	6.606069609235064
SRR25158409	4374.151833007447	0.971363545440784	7.262081633993265
SRR25158497	3981.1043440287667	0.9713755870943958	7.290420949919522
SRR25158506	5064.031657295337	0.9713572970279942	7.471375844666805
SRR25158451	4106.511502113734	0.9713532467924978	7.253432414882056
SRR25158306	4383.9565302354495	0.9713882329238496	7.272849921391695
SRR25158530	4549.362832883672	0.971384762994399	7.3173324280513565
SRR25158180	4534.230357259876	0.9713853174859931	7.398566932336379
SRR25158196	5051.06732794921	0.9713706886700335	7.500326109264008
SRR25158501	3596.469189815197	0.9713568134788579	7.208871740687157
SRR25158341	2316.2649846328386	0.9713068617738733	6.585190896602602
SRR25158515	3499.404056302507	0.9713433092061227	7.104279903712471
SRR25158317	3261.525489898723	0.9713648139658431	7.094283635022388
SRR25158319	5136.2945954709785	0.9713408577380174	7.600261700972638
SRR25158421	4268.716348267568	0.9713620411246222	7.114024381269508
SRR25158283	5419.76163235899	0.9713816487219317	7.606366527488444
SRR25158253	4966.843271547431	0.9713510189156617	7.534773624268204
SRR25158516	4854.930233342209	0.9713772348295925	7.364278768371256
SRR25158275	5272.428856833915	0.9713550528648466	7.369798482267574
SRR25158337	2155.7204234034994	0.971266626237283	6.482957824169568
SRR25158305	3077.568421273199	0.9713298159884163	6.734259735952315
SRR25158349	3009.6399961478915	0.9712821467452176	6.769419631134501
SRR25158445	3453.786768479247	0.971400163476262	7.224731137739212
SRR25158532	5395.7246786113965	0.9713908353256188	7.5534251622054756
SRR25158417	4782.76395114762	0.9713756888421216	7.269068339740515
SRR25158192	3349.9373395337466	0.9713954152392259	7.1480574744480165
SRR25158224	5651.389735448865	0.9713713331524053	7.527387163393659
SRR25158478	3572.4364037897863	0.9713804090271088	7.080793651391245
SRR25158514	2914.9582622419525	0.9713390764736274	7.060550373153727
SRR25158473	4122.8559116037	0.9713674011196894	7.244124040256466
SRR25158502	3666.147284979127	0.9713765570423191	7.132697648651468
SRR25158269	2020.130806111969	0.971324653947763	6.357922099289309
SRR25158288	5192.888808225166	0.97136896300472	7.578785386073137
SRR25158189	3766.2021709135734	0.9713752874720126	7.273156224387695
SRR25158492	3693.879441989091	0.9713628899498767	7.091022922272972
SRR25158357	1911.6355540082611	0.9711047195896556	6.1199272991413896
SRR25158379	2795.3895566813044	0.9713673667282996	6.927250720555672
SRR25158193	3308.761413316756	0.9713770879000659	7.109610017710572
SRR25158342	2974.210214235347	0.9713331424729673	6.7082389398801725
SRR25158214	5037.140884699477	0.971359623100023	7.400781424878963
SRR25158494	3953.242250056024	0.971388324228625	6.643405249003038
SRR25158302	3981.2907172121954	0.971372242405287	7.171915132239578
SRR25158223	5669.456125574241	0.9713775263407858	7.499061191972442
SRR25158352	2682.4096727749416	0.9713449882295976	6.780149801890179
SRR25158410	3448.7293931027234	0.9713792848880426	7.083941064989686
SRR25158524	3666.9555673909913	0.9713652653748753	7.259101598599342
SRR25158390	3054.7999724393667	0.9713747234679135	6.89914368417735
SRR25158513	2347.87190318264	0.9713846665217862	6.526983287906633
SRR25158267	2653.733538558921	0.9712508774779858	6.6923896371109
SRR25158528	4553.783016229403	0.9713866364217678	7.344990197068933
SRR25158230	5449.014780784421	0.9713231430786496	7.47976733406729
SRR25158236	5494.084188313428	0.9712989259818136	7.546545576646177
SRR25158344	2798.4933711868784	0.9713286877204154	6.615400352274909
SRR25158278	4902.582433926373	0.971332230911216	7.356486407040775
SRR25158360	1789.858245560899	0.97137261379319	6.31829157982161
SRR25158453	3584.8587219367405	0.9713792187414136	7.173163291335365
SRR25158370	4454.733285352935	0.9713826066048421	7.223305959148951
SRR25158228	4649.07192435354	0.9713844626701857	7.339792576059499
SRR25158188	3038.7047232790287	0.9713715320387729	7.05094244607071
SRR25158201	3611.267751507808	0.9713759077355038	7.110453421478814
SRR25158403	2855.826583714918	0.9713427594318464	6.894248205938976
SRR25158315	4017.8912399014625	0.9713064389707513	7.351338032927585
SRR25158325	3943.6224907336573	0.9713628001054201	7.399132902702316
SRR25158418	4977.853202818483	0.9713602573810405	7.318860483167318
SRR25158358	2089.1997551680197	0.971376425026886	6.43986566534714
SRR25158375	4603.900946184211	0.9713822936972162	7.381427174710989
